compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
compound_class,Ketone,Ketone,Aldehyde,Aldehyde,Alkane,Ester,Terpenoid,Alkane,Aldehyde,Alkene,Alkene,Alkane,Alkene,Ester,Alkane,Alkene,Alkane,Ester,Alkene,Alkane,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Alkene,Alkane,Ester,Alkene,Alkene,Alkane,Ester,Ester,Alkene,Alkane,Ester,Alkene,Alkane,Ester,Ester,Unknown,Alkene,Alkane,Unknown,Unknown,Unknown,Unknown,Ester
Avg. RI,890,1093,1804,1821,1898,1926,1927,2000,2009,2077,2082,2100,2178,2178,2200,2279,2300,2376,2381,2400,2485,2500,2584,2600,2611,2682,2688,2700,2782,2800,2814,2884,2889,2900,2959,2973,2983,3000,3016,3086,3100,3163,3215,3221,3284,3299,3326,3374,3422,3515,3550
Avg. RT,7.619,10.802,20.142,20.325,21.146,21.427,21.435,22.158,22.264,22.924,22.973,23.131,23.865,23.865,24.07,24.779,25.076,25.616,25.663,25.826,26.527,26.74,27.338,27.477,27.559,28.145,28.194,28.382,29.012,29.187,29.312,29.983,30.033,30.202,30.769,30.916,31.034,31.214,31.407,32.272,32.515,33.341,34.121,34.222,35.283,35.542,36.058,37.01,38.052,40.679,41.565
Est. Retention Time (min) (Anne),7.622,10.802,20.142,20.327,21.146,21.429,21.43,22.161,22.264,22.924,22.973,23.132,23.863,23.868,24.064,24.779,25.074,25.619,25.646,25.826,26.525,26.694,27.338,27.463,27.545,28.14,28.194,28.33,28.996,29.176,29.312,29.978,30.049,30.164,30.769,30.916,31.025,31.2,31.407,32.269,32.477,33.349,34.119,34.222,35.281,35.537,36.05,37.01,38.052,40.676,41.565
Est. Retention Time (min) (Mason),7.616,10.802,20.142,20.322,21.146,21.424,21.44,22.155,22.264,22.924,22.973,23.131,23.868,23.862,24.075,24.812,25.079,25.614,25.679,25.826,26.53,26.787,27.338,27.49,27.572,28.15,28.194,28.434,29.029,29.198,29.312,29.989,30.016,30.24,not det.,not det.,31.042,31.227,31.407,32.275,32.553,33.333,34.124,34.222,35.286,35.548,36.066,not det.,not det.,40.681,not det.
10a.cdf,0.0254,0.0106,0.0069,0.0206,0.0407,0.0015,0.001,0.0096,0.0367,0.0126,0.0133,1.7105,0.2119,0.2858,1.1178,7.0442,8.5281,0.2063,2.2049,4.4213,10.2253,9.9294,1.7155,1.3396,0.8568,3.8971,4.0698,6.6834,0.4048,0.4338,8.0917,2.804,3.306,4.0049,0.5246,0.4519,0.595,0.5378,7.3211,4.3268,1.1458,0.1685,0.3594,0.395,0.2142,0.1344,0.1024,0.0002,0.0174,0.0224,0.0113
11a.cdf,0.0166,0.0077,0.0083,0.0627,0.0316,0.0007,0.0004,0.0089,0.0507,0.007,0.0259,1.4499,0.0944,1.1475,0.8832,4.873,6.4404,1.4442,0.8624,2.4113,7.5062,6.7265,2.1545,1.6907,0.9043,3.5656,6.5454,5.7303,0.6174,0.769,6.5337,3.6605,6.3913,4.4762,0.833,0.8631,1.0664,0.79,5.8685,7.9676,1.8517,1.0982,0.4788,0.5305,0.7925,0.2699,0.1752,0.1521,0.0322,0.0451,0.0868
12a.cdf,0.0308,0.0125,0.0084,0.021,0.0504,0.0015,0.001,0.0179,0.0365,0.0133,0.0379,2.4601,0.1437,0.137,1.3174,6.0776,8.1596,0.2905,1.0642,2.7323,8.816,8.2467,1.3337,1.4926,0.8269,4.1812,6.8731,6.6811,0.4672,0.5098,7.6145,3.9003,5.7782,3.708,0.605,0.5232,0.6997,0.5244,6.353,5.8797,0.5851,0.4761,0.3343,0.4194,0.2194,0.0993,0.1052,0.0214,0.0255,0.0205,0.0661
13a.cdf,0.034,0.0127,0.0098,0.026,0.033,0.0016,0.001,0.0109,0.0438,0.0118,0.0162,1.6179,0.1281,0.146,0.9145,7.6768,10.1744,0.2311,1.614,3.4782,11.3381,11.089,1.3931,0.9829,0.6929,4.1125,4.3327,7.0344,0.3695,0.3228,8.7502,2.853,3.5103,3.1671,0.5188,0.4531,0.5723,0.4755,5.8957,4.0031,0.7163,0.2672,0.2393,0.3148,0.1772,0.0926,0.0643,0.0141,0.0216,0.0085,0.0353
14a.cdf,0.0285,0.0105,0.0128,0.0274,0.0643,0.0121,0.0084,0.0453,0.0839,0.0162,0.0983,2.8129,0.4351,0.0976,1.8039,6.3564,7.8012,0.2422,1.955,3.8819,9.0618,8.1823,1.7066,1.6094,0.9112,4.1631,6.4248,5.8341,0.4867,0.4616,7.0764,3.762,5.1091,3.2701,0.5169,0.4921,0.6787,0.5097,6.0763,5.5346,0.6286,0.3198,0.3023,0.4888,0.2365,0.0982,0.1016,0.0094,0.0398,0.0205,0.093
15a.cdf,0.0328,0.0121,0.0102,0.0241,0.0694,0.0033,0.002,0.0241,0.044,0.0191,0.0479,2.8795,0.3727,0.1878,1.8977,6.4954,8.0764,0.2841,2.4232,4.3859,9.2332,8.6143,1.7458,1.5732,0.9065,4.0679,4.9775,5.9497,0.4374,0.4179,7.4035,3.4359,4.0194,3.4096,0.5585,0.4958,0.6576,0.5017,6.3761,5.1973,0.7025,0.5074,0.3105,0.5655,0.257,0.1027,0.1102,0.0076,0.0539,0.0239,0.0882
16a.cdf,0.0299,0.007,0.0025,0.0116,0.0123,0.0004,0.0002,0.0041,0.0109,0.0032,0.0029,0.8429,0.0354,0.0331,0.5144,5.768,9.0378,0.1721,1.1513,3.9095,10.476,10.6052,1.4517,1.3228,0.8029,4.2151,4.8105,7.4477,0.3954,0.3981,8.2697,3.309,3.9567,3.9381,0.4602,0.4089,0.5672,0.4715,7.4055,5.5611,0.8558,0.1095,0.2841,0.3784,0.2624,0.1144,0.0794,0.0103,0.0362,0.019,0.028
17a.cdf,0.0453,0.0125,0.0078,0.0211,0.0254,0.0033,0.0027,0.0086,0.0172,0.0076,0.0135,1.2254,0.0972,0.0493,0.6941,7.0296,9.3485,0.1497,1.5174,3.6529,11.275,11.0532,1.4479,1.1734,0.7656,4.0522,4.8321,7.4669,0.3927,0.3606,8.568,2.7911,3.6528,3.5521,0.498,0.436,0.5557,0.4633,7.0152,3.9315,0.712,0.1427,0.2433,0.2917,0.1518,0.0835,0.0572,0.0229,0.0218,0.0098,0.0507
18a.cdf,0.0366,0.0098,0.0075,0.0874,0.0485,0.0009,0.0004,0.0123,0.0616,0.0199,0.0176,2.9378,0.099,0.01,1.5646,7.5935,9.9581,0.166,1.576,3.8861,10.1758,9.9585,1.4213,1.4203,0.7524,4.691,5.3083,7.6402,0.4093,0.4905,5.7905,3.1357,3.5792,5.2217,0.4645,0.3903,0.5399,0.4849,3.6476,3.9052,1.6233,0.0511,0.1568,0.1428,0.1451,0.1031,0.1735,0.0038,0.0023,0.0672,0.0106
19a.cdf,0.0217,0.0122,0.0128,0.0372,0.098,0.0023,0.0009,0.0386,0.117,0.0561,0.0492,2.4595,0.2797,0.1289,1.1584,8.349,9.3109,0.2738,2.3997,3.6726,10.5468,9.878,1.6272,1.0564,0.7648,4.5139,4.1662,6.3143,0.3911,0.4072,8.2667,2.7468,3.0817,3.2762,0.539,0.4695,0.5442,0.5217,6.4601,3.5803,0.8712,0.2034,0.2997,0.2502,0.1506,0.0967,0.2239,0.1057,0.0132,0.0528,0.1019
1a.cdf,0.0234,0.0064,0.0083,0.0173,0.0233,0.0023,0.0014,0.0052,0.0266,0.0018,0.0038,1.2558,0.0865,0.1983,0.6725,7.0038,9.1341,0.5413,1.0921,3.7202,10.9059,10.5749,2.5649,1.3821,1.0975,2.912,4.2006,6.6004,0.6165,0.5963,8.289,2.5989,4.0979,2.9476,0.7324,0.6453,0.8116,0.6799,6.5627,4.834,0.7941,0.0933,0.4182,0.5321,0.3317,0.1974,0.0771,0.0043,0.0333,0.0254,0.0186
20a.cdf,0.0805,0.024,0.0095,0.0236,0.0423,0.0012,0.0006,0.0114,0.0283,0.0179,0.0184,2.0423,0.219,0.2172,1.2444,7.98,9.6476,0.2845,2.09,4.0625,10.7918,10.5775,1.5007,1.0212,0.7177,3.6953,3.854,6.9713,0.3688,0.3658,7.9236,2.3333,2.9188,4.1915,0.5445,0.4969,0.5857,0.5308,6.0971,3.7164,1.4055,0.2426,0.2634,0.2957,0.1868,0.1217,0.0971,0.0495,0.0139,0.0147,0.0614
21a.cdf,0.0348,0.0123,0.0063,0.0174,0.0437,0.0008,0.0005,0.0116,0.0199,0.0112,0.0152,2.2053,0.1458,0.0759,1.4872,6.292,8.2805,0.2158,1.6771,4.2682,9.0322,9.0534,1.407,1.406,0.8839,3.7087,4.2538,6.6317,0.3807,0.4959,7.6611,2.8534,3.3892,5.2001,0.5321,0.4636,0.6108,0.5815,7.2223,5.1711,2.3101,0.1958,0.4005,0.4765,0.3264,0.2055,0.1957,0.0119,0.0282,0.0438,0.0451
22a.cdf,0.0788,0.0369,0.0105,0.0234,0.0575,0.0014,0.0007,0.0165,0.0288,0.0175,0.0169,2.5313,0.2538,0.0495,1.5369,7.3638,9.1857,0.1491,1.8557,4.317,9.8574,10.1083,1.2467,1.1105,0.7259,3.2712,3.4965,7.0217,0.3346,0.3857,8.1429,2.2244,2.7646,4.8872,0.4811,0.415,0.5247,0.5029,7.5471,4.0096,1.8791,0.0869,0.3391,0.4436,0.2163,0.1612,0.169,0.0149,0.0279,0.0343,0.0379
23a.cdf,0.0329,0.0119,0.008,0.0204,0.0354,0.0016,0.0012,0.0112,0.019,0.0109,0.0108,1.9711,0.1477,0.075,1.219,6.939,9.1034,0.2263,1.4894,4.1425,9.6596,10.2866,1.2759,1.1256,0.7486,3.2819,3.4729,7.3018,0.3458,0.4153,8.3818,2.2884,2.8186,5.3129,0.5254,0.4638,0.5683,0.5789,7.6237,4.1443,2.3031,0.1945,0.3713,0.394,0.2334,0.1826,0.1121,0.0314,0.0177,0.0202,0.0428
24a.cdf,0.0844,0.0398,0.0131,0.1461,0.0581,0.0033,0.0024,0.0243,0.257,0.0521,0.1072,2.6457,0.0666,0.0077,0.3484,8.9825,12.6364,0.1253,0.6018,0.9238,14.9398,12.2447,1.0137,0.676,0.3671,4.9869,9.0823,8.6445,0.4001,0.3361,0.7593,2.3989,4.8419,4.6484,0.4917,0.4158,0.5303,0.4515,0.7618,2.9839,1.3665,0.0937,0.0807,0.0698,0.0975,0.0684,0.0454,0.0257,0.0009,0.0024,0.0482
25a.cdf,0.0779,0.0188,0.0229,0.4818,0.1303,0.0036,0.0024,0.0457,0.5605,0.1679,0.8034,6.8758,0.2719,0.3314,1.1647,12.4726,11.8525,0.6333,1.0787,0.9849,15.0629,9.7139,1.3757,0.5334,0.3344,3.8525,8.855,5.0245,0.4327,0.2806,0.4818,1.5221,4.3819,2.4528,0.6971,0.6,0.5921,0.4474,0.5121,1.986,0.8145,1.1956,0.152,0.1333,0.071,0.0596,0.0871,0.1169,0.004,0.0053,0.2408
26a.cdf,0.0432,0.0156,0.0688,0.6397,0.1381,0.0017,0.0008,0.0406,0.4632,0.1223,0.1449,7.6347,0.2401,0.2547,1.2818,12.9466,14.6172,0.3108,1.0635,0.9828,15.3344,11.785,1.2358,0.4939,0.3238,3.774,6.0971,5.3068,0.4225,0.2455,0.4406,1.554,2.7452,2.5839,0.5407,0.4868,0.5513,0.4439,0.497,2.2438,1.0269,0.2043,0.0762,0.0666,0.0916,0.0608,0.055,0.198,0.004,0.0044,0.095
27a.cdf,0.0476,0.0109,0.0047,0.016,0.0281,0.0006,0.0003,0.0078,0.0155,0.0069,0.0099,2.4088,0.0791,0.0047,1.2839,7.7293,11.9933,0.1738,0.7123,3.6361,11.4877,12.6759,1.0703,1.0027,0.6379,2.1808,3.3414,8.7373,0.33,0.3735,8.1777,1.5357,2.6004,4.6572,0.4676,0.3986,0.4772,0.4609,6.4486,2.719,1.2469,0.043,0.2162,0.2253,0.1122,0.0989,0.066,0.0042,0.0111,0.0105,0.0158
28a.cdf,0.083,0.0092,0.005,0.0121,0.0337,0.0004,0.0001,0.0091,0.022,0.0059,0.0185,2.291,0.0874,0.0239,1.3157,5.9989,8.1422,0.1542,1.2188,3.5524,9.0813,8.7459,1.3808,1.5617,0.9581,4.0129,6.4196,6.778,0.4299,0.5318,7.4285,3.5207,5.1475,4.5001,0.5128,0.4335,0.6081,0.5286,6.2251,5.7654,1.0567,0.1514,0.2985,0.3774,0.2392,0.1177,0.1176,0.0054,0.0214,0.0226,0.0381
29a.cdf,0.0348,0.0123,0.0095,0.0196,0.0348,0.0024,0.0019,0.0091,0.0155,0.0085,0.0393,2.3685,0.1154,0.0879,1.1814,6.1309,8.1808,0.1943,0.8647,2.4552,8.9226,8.331,1.2426,1.8639,0.7927,4.1232,7.7684,7.6357,0.4932,0.7798,4.628,3.7999,6.829,5.6795,0.59,0.5061,0.7165,0.5857,3.7931,6.4774,1.478,0.2575,0.2341,0.2512,0.2187,0.1132,0.0589,0.0065,0.0117,0.0087,0.0361
2a.cdf,0.014,0.0042,0.0026,0.0087,0.0183,0.0008,0.0005,0.004,0.015,0.0011,0.0026,1.5024,0.0599,0.0716,0.9305,5.8413,7.8967,0.4461,1.1404,4.203,9.0292,8.7876,2.3647,1.6548,1.2367,3.2095,4.8967,6.1935,0.6122,0.6787,7.8244,3.1014,4.7752,3.7853,0.7217,0.638,0.8588,0.7244,7.0277,6.5341,1.1148,0.0517,0.4786,0.5838,0.4649,0.2371,0.1493,0.0031,0.0335,0.0497,0.0154
30a.cdf,0.0312,0.0104,0.013,0.0254,0.056,0.0029,0.0017,0.0158,0.0435,0.0168,0.0308,2.9204,0.2877,0.1741,1.7927,6.9991,8.6103,0.3287,2.1271,4.202,9.5439,9.0045,1.5911,1.2685,0.8852,3.8244,4.7454,6.2932,0.4182,0.4108,7.7155,2.8185,3.648,3.8342,0.5732,0.5254,0.6192,0.5262,6.701,4.4626,1.0049,0.4357,0.3472,0.5143,0.2116,0.1178,0.1359,0.0109,0.032,0.022,0.0691
31a.cdf,0.0954,0.043,0.0182,0.1026,0.0915,0.0041,0.0027,0.0345,0.2272,0.09,0.1823,4.251,0.1519,0.0507,1.0085,10.2932,11.9238,0.1856,1.0883,1.7748,13.5447,11.1471,1.1954,0.7984,0.4284,4.9248,8.4309,7.6699,0.408,0.3646,0.571,2.3534,4.5062,4.4806,0.5015,0.423,0.5401,0.4609,0.5609,2.9175,1.5705,0.1073,0.089,0.0792,0.1019,0.0815,0.0451,0.0307,0.0004,0.0016,0.0463
32a.cdf,0.0518,0.0222,0.0143,0.1778,0.1121,0.0232,0.0222,0.0335,0.1835,0.0802,0.0623,5.7605,0.0634,0.0368,0.6879,6.9509,11.252,0.1872,0.4698,1.1936,11.7757,11.1086,1.1858,0.9956,0.5118,5.993,8.6253,9.7281,0.519,0.4877,0.6109,3.2443,4.8511,5.3467,0.5757,0.486,0.5984,0.4783,0.7674,3.0399,1.1033,0.1563,0.0938,0.084,0.0743,0.051,0.0426,0.0165,0.0017,0.0024,0.0596
33a.cdf,0.025,0.0077,0.0056,0.0177,0.0278,0.0005,0.0003,0.0056,0.0205,0.006,0.0077,1.6467,0.1084,0.1013,1.056,7.1387,9.3814,0.2191,1.725,4.2834,10.5466,10.3786,1.4798,1.1447,0.7854,3.5637,4.1462,6.9199,0.3691,0.371,8.5315,2.574,3.4917,3.6991,0.4931,0.444,0.5643,0.4788,7.7632,4.3785,0.8968,0.1005,0.2972,0.3403,0.1856,0.1059,0.0945,0.0064,0.0236,0.0248,0.0167
34a.cdf,0.0332,0.0103,0.0074,0.0214,0.0452,0.002,0.0015,0.0128,0.0179,0.01,0.0192,2.2624,0.1423,0.0251,1.3945,7.5795,9.9294,0.1423,1.723,4.5863,11.3091,10.9425,1.3934,1.1458,0.8053,3.3002,4.6992,6.8132,0.3726,0.3382,9.0062,2.2108,3.4122,2.7433,0.4292,0.3712,0.4719,0.4009,7.2529,3.1674,0.4522,0.1728,0.2323,0.2928,0.1133,0.0709,0.0674,0.0025,0.0157,0.0089,0.0198
35a.cdf,0.0336,0.0084,0.0071,0.0176,0.0515,0.0013,0.0007,0.0152,0.0135,0.008,0.0566,2.8282,0.1264,0.0066,1.6718,6.6085,8.9138,0.1527,1.0493,3.8884,10.3778,9.3859,1.2455,1.3298,0.8175,3.0549,7.4187,6.6223,0.3516,0.4174,7.8851,2.5078,5.6194,3.4962,0.449,0.3807,0.5112,0.4381,6.6263,3.9539,0.5954,0.1594,0.2517,0.3014,0.132,0.079,0.0873,0.0017,0.0157,0.0177,0.0104
36a.cdf,0.0257,0.0081,0.0056,0.0133,0.0332,0.0011,0.0006,0.0069,0.0142,0.0051,0.0075,2.0505,0.1082,0.0451,1.4274,6.1297,8.0279,0.1853,2.0076,4.9545,9.1521,8.8852,1.7079,1.6528,1.1209,3.4505,4.4019,6.264,0.401,0.5178,7.8729,2.7522,3.6446,4.6805,0.4746,0.4096,0.5816,0.5482,7.8313,5.1843,1.7108,0.0194,0.4358,0.5224,0.2708,0.1755,0.1711,0.001,0.0349,0.0583,0.0083
37a.cdf,0.0404,0.0124,0.0266,0.5641,0.0589,0.0013,0.0008,0.0212,0.0847,0.0188,0.0604,3.3419,0.23,0.8519,1.883,7.7603,9.2809,0.8672,1.572,3.6785,10.6095,9.2493,1.5383,0.9416,0.6075,3.0038,4.8484,6.2757,0.3891,0.4108,6.835,2.0749,3.524,4.4983,0.4897,0.4383,0.5422,0.5584,5.388,4.0888,2.0304,0.2089,0.2514,0.2525,0.221,0.1718,0.0624,0.0753,0.0144,0.0167,0.0282
38a.cdf,0.0245,0.0096,0.0129,0.04,0.0702,0.0033,0.0022,0.0169,0.0987,0.0294,0.0665,2.3098,0.2515,0.3421,1.1233,8.0057,9.2815,0.5256,1.8643,4.3869,10.8332,10.1312,1.519,1.287,0.7216,3.3608,4.8903,7.1038,0.377,0.4356,6.887,2.0133,3.1085,4.9514,0.5664,0.4666,0.5418,0.4969,5.3538,3.1208,1.7247,0.4727,0.2417,0.2446,0.1331,0.1258,0.2533,0.0325,0.0096,0.0801,0.051
39a.cdf,0.0214,0.0076,0.0091,0.0183,0.1469,0.0282,0.0275,0.045,0.0258,0.0369,0.1158,3.9491,0.3957,0.0865,2.8096,6.4118,7.8375,0.2159,1.7922,4.8375,7.8205,8.2197,1.4037,2.0316,1.0478,2.7024,4.0878,6.0102,0.3496,0.7226,6.7813,1.9664,3.1984,5.4349,0.4936,0.4114,0.5323,0.6707,7.2601,3.7424,3.6643,0.0723,0.5853,0.5392,0.2032,0.2639,0.704,0.0078,0.0202,0.2106,0.0237
3a.cdf,0.0289,0.0112,0.007,0.0195,0.0607,0.0048,0.0043,0.0165,0.0182,0.0182,0.032,2.8875,0.2211,0.0819,1.4987,7.9562,9.637,0.3597,1.5898,3.6196,10.8095,9.9445,2.0187,1.3132,0.8443,3.6688,5.3123,7.1567,0.5673,0.6197,5.0064,2.4399,3.4172,4.7667,0.6785,0.5759,0.7187,0.6593,4.1628,4.1385,1.745,0.1215,0.3293,0.3135,0.274,0.2051,0.0531,0.0012,0.0042,0.0132,0.0484
40a.cdf,0.0307,0.0103,0.0089,0.0256,0.1568,0.0033,0.0025,0.0531,0.0304,0.0498,0.0628,4.4232,0.3923,0.2312,2.5367,7.2498,8.9676,0.3791,1.6542,4.48,8.54,9.0813,1.1938,1.2294,0.6747,2.6711,3.1299,6.585,0.3124,0.4547,7.2723,1.8539,2.4809,5.5418,0.4996,0.4374,0.5076,0.5547,7.6292,3.636,3.0888,0.3339,0.3927,0.3915,0.1975,0.2214,0.1798,0.0252,0.0176,0.0503,0.0673
41a.cdf,0.035,0.021,0.0169,0.0597,0.1415,0.0063,0.0033,0.0724,0.0633,0.0594,0.0765,4.0595,0.2576,0.0593,1.7516,10.5604,12.9871,0.2458,1.1573,3.6735,12.4689,12.9558,1.0005,0.8404,0.4432,2.1334,3.1473,7.5825,0.2761,0.3366,5.8192,1.1434,1.9904,3.9388,0.3956,0.3418,0.4044,0.4551,5.2424,1.8643,1.2139,0.1034,0.1571,0.1319,0.0555,0.0784,0.1188,0.0056,0.0062,0.0265,0.0151
42a.cdf,0.0037,0.0267,0.0319,0.0613,0.0692,0.0123,0.005,0.0603,0.0842,0.0332,0.1799,2.0618,0.2405,0.1109,1.1775,11.1004,18.133,0.4604,0.7562,2.7987,16.4137,18.1875,1.3703,0.8717,0.5624,1.3699,2.8247,4.6001,0.3914,0.3505,5.5354,0.8359,1.639,1.1809,0.4659,0.4151,0.5086,0.5982,2.9484,0.8863,0.3277,0.1424,0.0572,0.0407,0.0034,0.0148,0.0255,0.0096,0.0107,0.0043,0.0008
43a.cdf,0.0101,0.0069,0.0014,0.0101,0.0258,0.0009,0.0007,0.0049,0.0068,0.0046,0.022,1.8798,0.0689,0.0017,0.9195,8.1966,11.4252,0.1829,0.908,3.9085,13.2511,12.5021,1.1781,0.8771,0.6457,1.9662,4.3341,7.4774,0.3148,0.284,9.3087,1.4683,3.0047,3.342,0.423,0.3684,0.4527,0.4245,7.0558,2.2784,0.7801,0.0484,0.1909,0.2378,0.0678,0.0669,0.0378,0.0029,0.0194,0.003,0.0023
44a.cdf,0.0205,0.0094,0.003,0.0138,0.0283,0.0005,0.0002,0.0055,0.0151,0.0073,0.0158,2.2079,0.0878,0.0045,0.9376,9.8649,12.8545,0.1982,1.0061,3.5702,13.1587,13.2831,1.1514,0.7658,0.5828,1.7863,2.7243,7.6049,0.3172,0.2818,8.5119,1.3085,2.2823,3.7908,0.4315,0.3728,0.4544,0.439,5.8209,2.1858,1.2669,0.0114,0.1714,0.1631,0.0793,0.0949,0.0826,0.0009,0.0075,0.0167,0
45a.cdf,0.023,0.0081,0.0025,0.0117,0.0296,0.0008,0.0006,0.006,0.0104,0.007,0.0209,1.8771,0.1428,0.0359,0.97,8.6245,10.5772,0.1664,1.5261,3.9832,12.27,11.7736,1.3413,0.9032,0.686,2.8034,3.8223,7.1522,0.3419,0.3346,8.4927,1.9323,2.9801,3.5401,0.4351,0.3754,0.4881,0.4887,6.6434,3.2978,0.9899,0.0595,0.2265,0.2826,0.1382,0.1005,0.0463,0.0014,0.0233,0.0056,0
46a.cdf,0.0179,0.0084,0.009,0.0626,0.0306,0.0009,0.0004,0.0144,0.0716,0.0154,0.0803,2.9733,0.1815,0.1249,1.7827,7.053,8.8219,0.3162,1.0359,3.9018,9.6507,8.9832,1.3355,1.2665,0.6822,2.8989,5.9498,6.6884,0.3962,0.5784,5.8877,2.1107,4.3113,5.8577,0.5202,0.4453,0.5648,0.6109,5.7115,4.1898,3.6338,0.0212,0.2759,0.265,0.2019,0.2556,0.1032,0.0261,0.0123,0.0466,0.0155
47a.cdf,0.0272,0.0096,0.0128,0.0243,0.0708,0.003,0.0017,0.0196,0.0247,0.0117,0.0532,3.4208,0.2685,0.0133,2.0319,7.8224,9.9594,0.178,1.674,4.25,11.4423,10.1296,1.4778,1.0914,0.6783,3.9398,7.1217,5.977,0.3689,0.3069,7.5131,2.6195,4.3326,1.798,0.3998,0.3444,0.4614,0.3817,5.7606,2.9179,0.2461,0.1417,0.1828,0.249,0.077,0.0503,0.0677,0.003,0.0219,0.0109,0.0099
