compound,2-Heptanone,2-Nonanone,Hexadecenal,Hexadecanal,Nonadecane,Methyl Hexadecanoate,"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",Eicosane,Octadecenal,Heneicosene 1,Heneicosene 2,Heneicosane,Docosene,"Octanoic Acid, Dodecyl Ester",Docosane,Tricosene,Tricosane,"Decanoic Acid, Dodecyl Ester",Tetracosene,Tetracosane,Pentacosene,Pentacosane,Hexacosene,Hexacosane,Docosyl Acetate,Heptacosene 1,Heptacosene 2,Heptacosane,Octacosene,Octacosane,Tetracosyl Acetate,Nonacosene 1,Nonacosene 2,Nonacosane,"Hexadecenoic Acid, Dodecyl Ester","Hexadecanoic Acid, Dodecyl Ester",Triacontene,Triacontane,Hexacosyl Acetate,Hentriacontene,Hentriacontane,"Eicosenoic Acid, Decyl Ester",Octacosyl Acetate,"Unknown (m/z 434, 405, 126)",Tritriacontene,Tritriacontane,"Unknown (m/z 434, 390)","Unknown (m/z 464, 338, 265, 201, 127)","Unknown (m/z 462, 433,139, 126)","Unknown (m/z 463, 418)","Octadecenoic Acid, Hexadecyl Ester"
52.cdf,0.1616,0.0513,0.002,0.022,0.0069,0.0026,0.0022,0.003,0.0057,0.0026,0.002,0.1726,0.0188,0,0.0696,2.2323,10.1388,0.2886,0.0938,0.5542,9.7257,17.1393,2.5517,1.2557,0.9179,2.4043,7.222,15.1394,1.275,1.2158,2.3425,2.6934,5.3565,5.4142,1.0736,0.9499,1.2135,1.0023,1.7582,3.4309,1.1825,0,0.2331,0.2306,0.2318,0.1869,0.0069,0.0001,0.0097,0.006,0
53.cdf,0.2714,0.0913,0.0028,0.0175,0.0126,0.1472,0.1466,0.0045,0.0131,0.0034,0.0068,0.4807,0.0274,0,0.1884,5.693,14.6695,0.4382,0.2526,1.166,13.8765,16.2769,2.7145,1.2265,0.9395,2.1839,5.5966,9.0145,0.8696,0.7943,3.6762,1.9956,3.6828,3.3401,0.7704,0.6811,0.8587,0.7275,2.6717,2.6712,0.9118,0,0.241,0.2505,0.207,0.1641,0.0102,0,0.0092,0.0051,0
54.cdf,0.4622,0.2038,0.0052,0.0281,0.0155,0.3512,0.3503,0.0055,0.0097,0.0054,0.0069,0.3868,0.0376,0,0.1505,5.5278,15.4825,0.3832,0.2237,0.9597,12.56,21.33,2.9098,1.3394,1.0012,1.8333,4.7738,10.6391,0.9365,0.8156,2.0597,1.6367,2.8038,3.2559,0.7187,0.6477,0.8153,0.7039,1.4168,1.8421,0.8135,0,0.1368,0.1338,0.1433,0.1231,0.0088,0,0.0045,0.0013,0
55.cdf,1.2052,0.3175,0,0.0211,0.0047,0.0262,0.0258,0.0031,0.0025,0.0005,0.0007,0.1877,0.0196,0,0.0861,4.5009,16.6691,0.4435,0.1583,0.794,15.7206,22.4908,3.2519,1.2836,1.0154,2.137,5.3223,7.449,0.8793,0.6379,2.0329,1.7419,2.7177,1.9916,0.6561,0.6055,0.7674,0.6646,1.3827,1.7775,0.5687,0.0192,0.0817,0.0754,0.1317,0.0807,0.0254,0,0.0077,0.0062,0.0112
56.cdf,1.3476,0.8396,0.0032,0.0286,0.0113,0.0091,0.0084,0.0046,0.0025,0.0058,0.0086,0.6856,0.0242,0,0.1104,8.7081,16.8842,0.4748,0.279,0.73,23.3708,13.9729,2.8677,1.0542,0.8566,2.4554,5.3752,5.061,0.7458,0.5362,1.0478,1.3478,2.2056,2.4025,0.5903,0.5423,0.6886,0.6202,0.7692,1.7177,1.0793,0.0132,0.0909,0.0844,0.1816,0.1283,0.0196,0.0001,0.0043,0.0035,0.0014
57.cdf,0.359,0.0546,0.0009,0.0181,0.0055,0.0005,0.0003,0.0025,0.0023,0.0021,0,0.2088,0.0241,0,0.0972,6.7863,15.2984,0.4237,0.2994,1.0585,17.5577,22.0605,3.4085,1.4028,1.0942,2.2543,3.2656,7.5921,0.8227,0.6831,1.3087,1.7141,1.6889,2.835,0.5983,0.545,0.7145,0.6143,0.9075,2.5052,1.0578,0,0.1356,0.1317,0.277,0.1595,0.0102,0.0001,0.0075,0.0037,0.0013
58.cdf,0.2327,0.0523,0.0018,0.016,0.0073,0.0009,0.0007,0.0029,0.0063,0.002,0.0005,0.3216,0.0191,0,0.1532,4.1893,15.9614,0.4774,0.2483,1.7222,14.3461,19.8039,3.4133,1.6359,1.212,2.3264,3.6632,9.9786,0.9042,0.8439,2.1546,1.971,2.1559,3.3146,0.6671,0.5985,0.7737,0.6565,1.3765,2.8971,1.0463,0,0.1909,0.1942,0.2713,0.175,0.0027,0,0.0067,0.004,0.0003
59.cdf,1.4806,0.9194,0.0082,0.0392,0.0072,0.0374,0.0364,0.0029,0.0035,0.0025,0,0.1532,0.0268,0,0.0681,4.4683,9.7976,0.2779,0.1951,0.6065,16.9429,20.7437,2.9904,1.2878,0.9795,3.1242,4.5974,10.6672,0.9774,0.8136,1.4043,2.1356,2.2583,4.2488,0.7672,0.6915,0.8788,0.7658,1.045,2.4774,1.3417,0,0.152,0.149,0.2422,0.1743,0.0052,0,0.0045,0.0032,0.0001
6.cdf,1.0597,0.3876,0.0015,0.0207,0.0189,0.0154,0.0146,0.0056,0.0024,0.0081,0.0042,1.5283,0.0401,0,0.3081,10.929,18.8461,0.6493,0.3785,1.255,16.7389,16.164,2.8216,1.1517,0.9007,2.0833,2.9935,6.6147,0.715,0.6141,0.9863,1.2383,1.3033,3.3933,0.5736,0.52,0.6557,0.6007,0.7409,1.6013,1.4613,0,0.1246,0.1234,0.2173,0.1752,0.0006,0,0.0069,0.0056,0.0014
60.cdf,0.0723,0.0187,0.0018,0.0161,0.0077,0.0046,0.0043,0.003,0.0027,0.002,0.0022,0.2329,0.0206,0,0.0961,2.7773,12.3353,0.2908,0.1111,0.8345,8.4564,17.449,2.4959,1.525,1.0315,2.5431,6.0814,15.2187,1.1565,1.199,1.8207,2.6105,4.5618,6.2465,0.968,0.842,1.0753,0.8996,1.3662,3.3185,1.4217,0,0.2208,0.2187,0.2378,0.1916,0.0003,0.0001,0.0056,0.0037,0
61.cdf,1.1091,0.2127,0.0037,0.0249,0.0096,0.0231,0.0225,0.0041,0.0048,0.0059,0.0066,0.3317,0.0496,0,0.1611,11.4402,16.8388,0.4176,0.5149,1.3739,18.9225,20.1523,2.9677,1.2115,0.9338,1.6651,2.9738,6.1573,0.6461,0.5353,1.043,0.9863,1.3135,2.557,0.4889,0.4466,0.564,0.5152,0.7396,1.1773,1.0002,0,0.0869,0.0825,0.142,0.1247,0.0066,0,0.0027,0.002,0.0006
62.cdf,0.4149,0.1338,0.0023,0.0224,0.0131,0.0027,0.0022,0.0052,0.0052,0.0039,0.01,0.7008,0.0344,0,0.2982,5.5128,21.3911,0.5364,0.1728,1.7265,12.0283,24.107,3.2866,1.4275,1.0782,1.5485,4.6074,8.0319,0.7803,0.6546,1.4241,1.0338,1.8717,2.3412,0.5353,0.488,0.6027,0.5365,0.8753,0.8394,0.614,0,0.0665,0.0629,0.0775,0.0781,0.0075,0,0.003,0.0016,0.0017
63.cdf,0.239,0.0602,0.0018,0.0209,0.0096,0.0479,0.0474,0.0043,0.0054,0.003,0.0034,0.4798,0.0355,0,0.214,7.4917,19.7696,0.4884,0.2811,1.6171,14.9386,24.5843,3.3716,1.3936,1.0837,1.2329,2.3011,6.9146,0.6767,0.5672,1.9681,0.8684,1.2156,2.5136,0.5183,0.4729,0.583,0.5386,1.2479,0.9096,0.8732,0,0.092,0.0888,0.1054,0.109,0.0041,0,0.0038,0.0024,0.0008
64.cdf,0.8688,0.2141,0.0036,0.0279,0.0151,0.0624,0.0539,0.0071,0.0048,0.0089,0.008,0.3248,0.0424,0,0.1266,9.3322,16.5292,0.4004,0.2615,0.8679,17.2036,22.8098,2.9451,1.1699,0.8959,2.0057,4.0524,6.3539,0.7163,0.5288,1.0655,1.2257,1.7101,2.557,0.5571,0.5249,0.6473,0.5959,0.7868,1.1883,0.9422,0.0054,0.0588,0.0508,0.1213,0.1011,0.0155,0,0.001,0.0015,0.003
65.cdf,1.0042,0.6257,0.0016,0.0197,0.0127,0.0109,0.0104,0.0042,0.0019,0.0056,0.0355,1.1847,0.0273,0,0.2129,8.8451,19.1974,0.5176,0.2777,0.9197,20.7145,14.1439,2.5368,0.9744,0.7707,2.1552,7.0725,4.893,0.6793,0.5212,0.9492,1.2094,2.914,2.0403,0.5332,0.4834,0.608,0.5331,0.6799,1.4904,0.7516,0.0174,0.0873,0.0819,0.1269,0.0943,0.0183,0.0001,0.0027,0.0017,0.001
66.cdf,0.1292,0.0394,0.001,0.0156,0.0048,0.0277,0.0269,0.002,0.0032,0.0015,0.0008,0.1616,0.0139,0,0.0826,2.5353,14.2845,0.3432,0.1486,1.2222,12.5189,20.5371,3.0968,1.5667,1.1234,2.4985,6.3623,11.9485,1.0158,0.9447,1.7402,2.0936,3.3094,3.9158,0.7532,0.6698,0.8584,0.7259,1.1424,2.4286,1.0292,0,0.1625,0.16,0.1915,0.1497,0.0058,0,0.0041,0.0029,0.0002
67.cdf,0.4781,0.0956,0.0028,0.0233,0.0064,0.0016,0.0011,0.0031,0.0061,0.0031,0.0008,0.2722,0.0236,0,0.1366,4.7876,17.8957,0.4119,0.225,1.2236,14.9561,23.7346,3.168,1.4243,1.0785,1.8268,3.4727,8.6578,0.8116,0.6922,2.1267,1.524,1.9447,2.4812,0.5966,0.5424,0.6878,0.6047,1.2578,1.644,0.6912,0,0.1088,0.1096,0.1348,0.1055,0.0118,0.0001,0.0047,0.0018,0.0011
68.cdf,2.0229,0.7107,0.0044,0.0235,0.0074,0.0113,0.0106,0.0035,0.007,0.0029,0.0013,0.3209,0.0244,0,0.1507,5.1654,16.8385,0.4024,0.2485,1.1351,15.3639,20.7066,2.8502,1.2309,0.9556,1.7586,3.6019,8.0212,0.7568,0.6326,2.7427,1.6134,2.3381,2.6871,0.6257,0.5651,0.7157,0.6202,1.5806,2.116,0.803,0,0.148,0.1524,0.1795,0.1274,0.0101,0,0.0037,0.0016,0
69.cdf,1.368,0.4796,0.0043,0.0269,0.0052,0.0036,0.0029,0.0038,0.0059,0.0036,0.0023,0.1562,0.0206,0,0.0708,3.1408,11.6595,0.2613,0.1299,0.5447,14.2832,18.1195,2.4274,1.0946,0.8185,3.0225,6.4456,10.7363,0.9536,0.822,2.2554,2.5494,3.9814,4.405,0.8529,0.7564,0.967,0.826,1.553,3.148,1.28,0,0.1936,0.1905,0.2365,0.1728,0.0134,0.0001,0.0033,0.002,0
7.cdf,0.1412,0.0335,0.0009,0.0216,0.009,0.0034,0.003,0.0025,0.0029,0.0017,0.0011,0.3327,0.0192,0,0.1258,2.4221,15.3357,0.3987,0.0731,0.9538,6.5206,22.1925,3.0561,1.5572,1.1199,1.9126,4.6369,13.5139,1.1168,1.0555,1.8836,2.3273,3.6194,4.9626,0.9178,0.8151,1.0466,0.8856,1.3988,3.2663,1.3769,0,0.214,0.211,0.281,0.2083,0.0018,0,0.0092,0.0082,0.0025
70.cdf,1.3197,0.4435,0.0048,0.0236,0.0083,0.0094,0.0088,0.0037,0.0051,0.0029,0.0032,0.2658,0.0192,0,0.1026,2.0486,12.2801,0.2545,0.0701,0.652,6.3075,18.1648,2.1264,1.2423,0.8595,1.8002,5.9981,15.1035,1.0679,1.0687,2.2154,2.7025,6.1928,5.6841,0.9912,0.8596,1.1122,0.9165,1.6106,4.2284,1.2975,0,0.2378,0.2376,0.2496,0.1877,0.0072,0,0.0027,0.002,0
71.cdf,1.2962,0.9495,0.0065,0.0318,0.0286,0.0231,0.0221,0.01,0.0041,0.0258,0.0206,3.5318,0.0589,0,0.487,14.4146,19.9214,0.5502,0.5467,1.1482,19.7487,14.313,2.2987,0.919,0.7187,2.081,3.3375,4.5192,0.555,0.4081,0.7673,0.8945,1.1725,1.5257,0.3899,0.3614,0.4525,0.413,0.4961,0.7995,0.5229,0.0136,0.0381,0.0337,0.0713,0.0579,0.013,0,0,0.0008,0.0003
72.cdf,0.0939,0.0245,0.0005,0.0194,0.0053,0.0293,0.0289,0.0021,0.0046,0.0019,0.0014,0.235,0.0215,0,0.1316,3.9408,18.1618,0.3948,0.2057,1.7291,14.1619,25.5196,3.4708,1.5948,1.188,1.6186,3.8522,9.09,0.8109,0.6905,1.8919,1.2404,1.8308,2.4574,0.5595,0.5081,0.638,0.5626,1.047,1.1934,0.6649,0,0.0842,0.081,0.1067,0.0905,0.0075,0,0.0034,0.0024,0.0011
73.cdf,0.0783,0.0324,0.0016,0.015,0.007,0.0172,0.017,0.0025,0.0058,0.0021,0.0011,0.4286,0.0238,0,0.2257,6.4319,15.4209,0.4473,0.467,2.2715,16.4602,17.8744,2.9585,1.323,1.0504,1.5494,2.6092,6.4777,0.6041,0.5302,7.1203,1.4817,2.3465,2.0401,0.6022,0.5393,0.6663,0.5832,3.8182,2.0358,0.6146,0,0.2307,0.2484,0.1716,0.133,0.0172,0,0.0109,0.0061,0.0002
74.cdf,0.0743,0.0181,0.0024,0.0159,0.0093,0.0058,0.0055,0.0033,0.0084,0.0027,0.0022,0.4811,0.0262,0.0013,0.2621,5.6706,14.7062,0.4195,0.4619,2.7262,15.5478,17.652,2.9441,1.4261,1.0979,1.6294,2.6759,7.5844,0.633,0.5788,6.9755,1.5392,2.4348,2.3426,0.6165,0.5492,0.6811,0.5935,3.9347,2.1604,0.6507,0,0.2407,0.2603,0.1757,0.1374,0.0184,0,0.0108,0.0063,0.0001
75.cdf,0.1038,0.0183,0,0.0124,0.0034,0.0084,0.0082,0.0019,0.0019,0.001,0.0002,0.143,0.0139,0,0.096,6.152,17.1843,0.4189,0.3912,1.9183,18.9574,21.594,3.2096,1.3905,1.0658,1.5911,2.6871,7.0187,0.6493,0.5585,3.0505,1.1352,1.5536,2.4576,0.5239,0.4703,0.5893,0.5274,1.7631,1.3931,0.8145,0,0.1253,0.1234,0.1377,0.1153,0.0096,0,0.006,0.0029,0.0022
76.cdf,0.557,0.2371,0.0013,0.0231,0.0204,0.0195,0.019,0.0077,0.0031,0.0141,0.0653,2.6995,0.04,0,0.265,11.2854,20.2056,0.4651,0.3527,0.7759,22.9074,12.5856,2.279,0.8305,0.6718,2.1853,5.8313,3.9618,0.5922,0.4081,0.8398,1.0532,2.2905,1.6282,0.4651,0.4314,0.5385,0.4793,0.61,1.3182,0.6647,0.0342,0.0571,0.0513,0.1169,0.075,0.0272,0,0.0045,0.0019,0.0031
77.cdf,0.1955,0.0689,0.0019,0.0159,0.008,0.0086,0.0084,0.0031,0.0077,0.0019,0.001,0.533,0.0213,0,0.2682,4.8939,16.9976,0.4536,0.2782,1.8303,14.6914,18.6879,2.7048,1.198,0.9562,1.4713,2.6307,6.7622,0.6098,0.524,6.9388,1.6987,2.6645,2.2102,0.6361,0.5681,0.7129,0.6133,3.8442,2.6898,0.6692,0,0.2433,0.2746,0.2138,0.1446,0.0243,0,0.0142,0.0065,0
78.cdf,1.9221,0.8612,0.0065,0.0315,0.0087,0.0038,0.0031,0.0036,0.008,0.0033,0.0004,0.3689,0.0262,0,0.1681,3.6587,18.6344,0.3581,0.1459,1.1243,10.9668,23.9342,2.6501,1.2612,0.936,1.6721,2.9297,9.8273,0.7746,0.6403,2.3634,1.7673,2.1606,2.9686,0.6309,0.5709,0.7325,0.633,1.4586,2.3829,0.8381,0,0.1315,0.1289,0.1731,0.1187,0.0093,0,0.0022,0.0007,0
79.cdf,1.1031,0.5939,0.0034,0.0269,0.0079,0.0221,0.0215,0.0028,0.0049,0.0032,0.0005,0.3332,0.0273,0,0.1605,5.9786,17.5366,0.3627,0.3003,1.1545,17.0875,21.5712,2.6507,1.1352,0.8701,1.8636,3.2816,7.2735,0.676,0.5223,2.3952,1.577,2.0324,2.3082,0.5576,0.5065,0.6486,0.5605,1.4684,2.1211,0.7136,0.0031,0.1189,0.1185,0.1711,0.1059,0.0139,0,0.0025,0.0013,0
8.cdf,0.2655,0.0693,0.0022,0.0173,0.013,0.0164,0.016,0.004,0.0107,0.0024,0.0041,0.834,0.0262,0,0.3742,4.8902,15.3886,0.5532,0.2446,1.8182,12.1304,16.3273,2.8527,1.4026,1.0477,1.8893,4.5093,9.2992,0.8342,0.7809,4.7226,2.0506,3.55,3.1747,0.7588,0.6717,0.8561,0.7186,2.9047,3.0828,0.8742,0,0.2613,0.2849,0.2492,0.1751,0.0161,0,0.0126,0.0105,0.0019
80.cdf,2.9965,1.2225,0.0068,0.0296,0.0082,0.0053,0.0043,0.0027,0.0067,0.0019,0,0.4168,0.0247,0,0.194,4.7098,18.4751,0.3861,0.2109,1.2444,13.7475,21.6526,2.5916,1.1454,0.885,1.6255,2.9906,7.4216,0.6658,0.5178,3.3625,1.5985,2.178,2.1894,0.5725,0.5187,0.6612,0.5723,1.8909,2.0814,0.6385,0.0047,0.1356,0.1377,0.1498,0.103,0.0121,0,0.0028,0.0009,0
81.cdf,3.2971,1.1443,0.0062,0.0319,0.0091,0.016,0.0144,0.0037,0.0047,0.0047,0.0189,0.8307,0.0272,0,0.1828,6.955,17.5042,0.3683,0.2264,0.7095,17.8981,14.4663,2.0477,0.8445,0.645,2.2655,6.6907,6.4419,0.698,0.5416,0.9207,1.4399,3.2786,3.1144,0.6145,0.5461,0.6919,0.611,0.7445,2.3079,1.2381,0.0071,0.1186,0.1133,0.2002,0.1424,0.0145,0,0.0011,0.001,0
82.cdf,0.4213,0.1746,0.0024,0.0303,0.0115,0.0144,0.0133,0.0045,0.0044,0.0045,0.0019,0.3855,0.0233,0,0.0787,3.5577,15.1485,0.2801,0.1279,0.4961,18.5093,17.0007,2.243,0.9346,0.7079,3.5951,6.262,8.6372,0.8536,0.6424,1.0784,2.4752,3.1672,3.7845,0.7341,0.6589,0.8572,0.7378,0.8884,3.3604,1.3616,0.0097,0.1346,0.1282,0.2729,0.1561,0.0244,0,0.0024,0.001,0
83.cdf,0.4681,0.1988,0.0016,0.025,0.0073,0.0228,0.0222,0.0031,0.0032,0.0039,0.0091,0.35,0.0218,0,0.0944,5.4211,16.1694,0.3073,0.1852,0.6515,19.2153,17.2898,2.3149,0.949,0.7228,2.4659,7.5759,7.6928,0.7748,0.6089,1.0335,1.4625,3.3758,3.3791,0.6565,0.5842,0.7288,0.6414,0.8042,1.9975,1.2101,0.0074,0.1119,0.1065,0.1705,0.131,0.0191,0,0.0026,0.0015,0
84.cdf,1.4468,0.5697,0.0014,0.0274,0.0086,0.0112,0.0107,0.0027,0.004,0.0038,0.0022,0.29,0.0423,0,0.1496,6.2723,18.8343,0.3623,0.2135,1.4466,13.4422,29.0498,3.3067,1.3805,1.0549,1.1199,2.0782,7.5733,0.6829,0.5376,1.1646,0.7472,1.0456,2.5408,0.4964,0.4566,0.5617,0.5252,0.7818,0.7034,0.8083,0,0.0415,0.0341,0.0746,0.0773,0.0103,0,0.003,0.0024,0
85.cdf,0.2842,0.0887,0.0006,0.015,0.009,0.0128,0.0125,0.0033,0.0042,0.0021,0.0031,0.6544,0.0212,0,0.2977,5.2113,16.8524,0.4399,0.2594,2.1954,14.3131,19.3865,2.8276,1.3271,1.0145,1.1601,2.5512,8.1735,0.6484,0.6078,5.0634,1.2239,2.2142,3.2122,0.6305,0.5586,0.6859,0.6192,3.5367,1.9923,1.0781,0,0.2291,0.2224,0.1781,0.1617,0.008,0,0.0054,0.0035,0
86.cdf,0.1676,0.0356,0.002,0.0256,0.0163,0.1104,0.1098,0.0054,0.0065,0.0044,0.0096,0.6797,0.0368,0,0.2733,5.2921,22.8373,0.4422,0.1485,1.6091,10.7234,27.0331,3.0121,1.3037,0.9822,1.2323,3.4842,8.154,0.7098,0.5727,1.1809,0.879,1.6036,2.613,0.5228,0.4766,0.589,0.5351,0.7861,0.7989,0.74,0,0.0501,0.0437,0.0728,0.0754,0.0091,0,0.0018,0.0012,0.0016
87.cdf,0.2817,0.0353,0,0.0226,0.0068,0.0085,0.0081,0.0027,0.0033,0.0018,0.0034,0.3256,0.0268,0,0.166,5.053,21.3741,0.4081,0.1667,1.4555,12.8209,28.5846,3.2253,1.35,1.0316,1.124,3.0378,7.3537,0.6872,0.5382,1.4234,0.8472,1.5279,2.3268,0.5088,0.4672,0.5803,0.5295,0.9047,0.8119,0.7064,0,0.0464,0.0385,0.0795,0.0732,0.0133,0,0.0041,0.0036,0.004
88.cdf,2.3498,0.9131,0.0036,0.0222,0.0039,0.086,0.0847,0.0012,0.0042,0.0009,0,0.1023,0.0126,0,0.0349,0.9447,6.8476,0.15,0.0282,0.2454,6.2946,11.4858,1.3907,0.8444,0.5714,2.2959,7.7078,15.2623,1.0579,1.114,1.767,3.2774,8.6227,8.3342,1.1867,1.0124,1.3541,1.0993,1.601,8.1217,2.2919,0,0.3437,0.3348,0.4801,0.2838,0.0182,0,0.006,0.005,0
89.cdf,1.0639,0.2205,0.0087,0.0272,0.02,0.0207,0.0155,0.0115,0.0096,0.0097,0.0088,0.373,0.0302,0,0.1162,6.6926,14.2411,0.2946,0.2695,0.6132,21.7484,15.343,2.2204,0.9184,0.67,3.9022,7.1064,6.9773,0.7532,0.5647,1.0454,2.1681,2.9104,2.7021,0.6076,0.5665,0.6998,0.6085,0.806,2.3018,0.8294,0.0264,0.0986,0.0918,0.1666,0.098,0.0224,0.0001,0,0,0
9.cdf,0.6277,0.1241,0.0027,0.0156,0.0175,0.0041,0.0038,0.0056,0.0075,0.0029,0.0054,1.1322,0.031,0,0.5306,5.1427,13.9041,0.5369,0.2944,2.4,11.9482,15.0342,2.7169,1.4293,1.055,1.7613,4.1175,8.757,0.7443,0.7145,6.6154,2.0012,3.6182,2.8463,0.7267,0.6398,0.8052,0.6791,4.2045,3.0042,0.7159,0,0.2958,0.3275,0.2302,0.165,0.0258,0,0.016,0.0133,0.0032
90.cdf,0.4055,0.0656,0.0011,0.0185,0.005,0.0063,0.0057,0.0014,0.0039,0.0017,0,0.2155,0.0177,0,0.1135,4.0846,17.006,0.3562,0.2618,1.8021,15.9958,23.2441,3.1484,1.5445,1.112,1.7866,2.6538,9.7773,0.7632,0.679,2.3267,1.4471,1.6052,2.9509,0.5673,0.5152,0.6495,0.5702,1.253,1.7128,0.8319,0,0.1113,0.1144,0.1478,0.1102,0.0055,0,0.0032,0.0011,0
91.cdf,0.4681,0.0937,0.0012,0.0158,0.0046,0.0044,0.0041,0.0015,0.0039,0.0015,0.0003,0.1909,0.0135,0,0.0904,2.2379,13.5059,0.2623,0.1243,1.0184,10.4606,18.4307,2.3279,1.3818,0.9509,2.4264,4.8251,14.0236,0.9593,0.9174,3.1233,3.0159,4.2961,4.2385,0.7949,0.6989,0.912,0.74,1.8444,3.8655,0.9364,0,0.2047,0.2113,0.2078,0.1443,0.0125,0,0.0052,0.0018,0
92.cdf,0.1363,0.0214,0.0019,0.0231,0.0057,0.0497,0.0491,0.0023,0.0058,0.0023,0,0.1625,0.0213,0,0.0936,3.3659,16.5767,0.3064,0.2274,1.6499,15.6358,26.7082,3.3167,1.6126,1.1715,1.5736,2.3475,10.2086,0.789,0.6867,1.8219,1.255,1.3714,2.895,0.5587,0.5072,0.6384,0.566,1.0532,1.3905,0.7826,0,0.0861,0.0845,0.1269,0.0976,0.0084,0,0.0037,0.0013,0
93.cdf,0.435,0.0704,0.0011,0.0198,0.0054,0.0309,0.0303,0.0018,0.0045,0.002,0,0.1523,0.0181,0,0.0779,4.5155,15.3881,0.3121,0.3686,1.5457,20.5707,24.0563,3.3008,1.4877,1.1074,2.056,3.0613,7.8854,0.7187,0.5869,2.0383,1.3266,1.4909,2.0036,0.4988,0.4571,0.5797,0.5033,1.1149,1.2947,0.5339,0.0016,0.0772,0.0773,0.1007,0.0736,0.0119,0,0.004,0.0014,0
QB_hd.cdf,0.3211,0.08,0.0168,0.0327,0.1056,0.0043,0.0031,0.0315,0.0209,0.0287,0.0655,2.542,0.2333,0.0023,1.4818,6.5592,8.5129,0.0993,1.7729,5.1102,8.6848,9.8136,1.3416,2.9891,0.7161,4.2474,5.6578,7.5719,0.4064,1.1454,1.247,3.7045,4.5637,6.6734,0.3295,0.2856,0.5559,0.6344,1.1643,5.5013,3.9457,0.0207,0.1214,0.1237,1.0211,0.3727,0.0514,0.0068,0.0171,0.0174,0.0439
QD_hd.cdf,0.1274,0.026,0.0143,0.0337,0.0361,0.0059,0.0047,0.0237,0.0251,0.0193,0.0248,1.3869,0.0915,0,0.7599,6.5126,9.6694,0.0838,1.2069,4.2181,9.9137,11.7526,1.0681,1.9479,0.574,4.7653,5.1671,9.0005,0.402,0.6557,1.7532,4.1111,4.3153,7.0994,0.3468,0.3007,0.5434,0.504,1.6095,6.4,2.5993,0.0411,0.1069,0.1009,0.3554,0.1493,0.0506,0.0076,0.0131,0.0111,0.0643
QE_hd.cdf,0.2547,0.0409,0.0141,0.0315,0.0434,0.0044,0.0024,0.0342,0.0334,0.0358,0.0573,1.5611,0.1294,0.0006,0.8813,5.6489,8.7874,0.0885,0.9673,4.4601,8.9016,10.636,1.1106,2.405,0.616,4.7057,6.457,8.1599,0.414,0.8237,1.5587,4.4291,5.8438,6.6171,0.3399,0.2964,0.6075,0.5644,1.5292,7.0792,2.8252,0.0397,0.1193,0.1302,0.4008,0.1669,0.0503,0.0072,0.022,0.0116,0.0552
QB_ABD_REINJ_4x.cdf,0.0084,0.0089,0.0048,0.0156,0.0622,0.0016,0.0004,0.0128,0.0171,0.0129,0.0336,3.5451,0.1071,0.0013,1.6303,9.7591,12.9332,0.6733,0.9511,4.7556,12.8325,12.4599,2.4178,1.2818,0.9819,1.7802,3.4543,7.029,0.5767,0.5727,7.149,1.5755,3.0851,2.5712,0.6129,0.5365,0.643,0.5581,2.2598,1.7712,0.6356,0,0.1889,0.1938,0.1275,0.1072,0.0415,0,0.0068,0.0107,0.0046
QD_ABD_REINJ_4x.cdf,0.0061,0.005,0.0037,0.0103,0.0757,0.0008,0.0003,0.0171,0.0241,0.0036,0.0095,3.7997,0.0564,0.0019,2.5796,6.5088,9.3378,0.6177,1.2563,5.3822,9.5542,9.1306,2.4108,1.6583,1.1516,2.9865,5.0439,6.2727,0.5983,0.6975,6.7614,2.5593,4.3871,3.969,0.6508,0.5579,0.732,0.6294,3.5008,4.5031,1.2335,0,0.2844,0.3273,0.2939,0.1853,0.1372,0,0.0144,0.0378,0.0344
QE_ABD_REINJ_4x.cdf,0.0089,0.0084,0.0063,0.0147,0.0664,0.0009,0.0003,0.0192,0.0196,0.0075,0.0214,3.4525,0.0568,0.0004,2.0639,5.9286,9.6596,0.4445,0.7838,4.7966,9.5664,9.7153,1.9677,1.6199,1.0808,2.7556,5.3764,6.8837,0.5569,0.6825,7.3981,2.6459,4.9841,4.3077,0.6457,0.5503,0.727,0.6341,3.7131,4.4467,1.2818,0.0001,0.2711,0.2929,0.2554,0.1661,0.0648,0,0.0125,0.0173,0.0194
