File_ID,treatment,colony,ID,Carvone,Hexadecanal,Methyl.Hexadecanoate,Ethyl.Hexadecanoate,Octadecenal,Methyl.Octadecenoate,Heneicosane,Ethyl.Octadecenoate,Ethyl.Octadecanoate,Docosane,Tricosene,Tricosane,Decanoic.Acid..Dodecyl.Ester,Tetracosane,Pentacosene,Pentacosane,Methyl.Tetradecanoate,Ethyl.Tetradecanoate,Hexadecenal,Heneicosene,Hexacosene,Hexacosane,Heptacosene,Heptacosane,Octacosane,Decanoic.acid..Hexadecyl.Ester,Octacosene,Tetracosyl.Acetate,Nonacosene,Nonacosane,Unknown1..mz.108.79..mw.402,Hexacosyl.Acetate,Triacontene,Hexadecenoic.Acid..Dodecyl.Ester,Octadecenoic.Acid..Decyl.Ester,Hentriacontene,Hentriacontane,Eicosenoic.Acid..Decyl.Ester,Tritriacontene,Tritriacontane,Unknown2..mz434.390..mw..,Octadecenoic.Acid..Hexadecyl.Ester,Unknown3..mz.464.338.265.201.127..mw..,Hexadecenoic.acid..Hexadecyl.Ester,Hexadecenoic.acid..Octadecenyl.Ester,Octadecenoic.Acid..Hexadecenyl.Ester,Octanoic.Acid,Octanoic.Acid..Ethyl.Ester
14_2.cdf,group,manchego,54,0.122023291,0.234141388,0.012368536,0.11059851,0.069733981,0.056284196,1.986928848,0.63290314,0.094014351,0.60377471,7.607269835,10.74073964,1.524728667,2.008126335,9.734949756,10.38528435,0.008188177,0.023875236,0.02926072,0.07665397,1.059040633,1.543590151,7.920461037,8.509450352,0.715181791,0.067729188,0.318790436,4.134324862,6.60524219,7.023813396,0.522267405,2.927938804,0.1577091,0.155543951,0.387827318,5.385072673,4.040723607,1.255244194,0.229305814,0.097007581,0.157215634,0.118918577,0.023244752,0.16946182,0.121921715,0.063263391,0.085523682,0.142338316
20_2.cdf,group,comte,60,0.477047955,0.584538765,0.013538256,0.196555551,0.712155813,0.089261209,3.451487273,3.118001317,2.255424693,0.975792127,8.527919418,10.83836137,1.96582314,1.641783546,9.155316367,9.71458986,0.009160104,0.034852728,0.047860536,0.082929664,0.80506783,0.889308392,6.12485222,7.800998519,0.486149417,0.091613811,0.170119393,2.810583655,4.335879534,6.087753636,0.64779416,3.301123695,0.18125702,0.394703405,0.572912013,4.054764282,3.478568078,2.417305256,0.238280154,0.096757999,0.108004345,0.342880573,0.061092453,0.322837963,0.079551948,0.167967332,0.011465265,0.028007956
23_2.cdf,iso,comte,1,0.027835735,0.024338373,1.784476564,0.018490586,0.022373124,0.634369417,2.587376335,0.124245337,0.017842008,0.868842412,10.91529969,16.86289003,0.834654434,1.760179423,12.6327823,15.3339548,0.132737015,0.011943492,0.019400746,0.036928232,0.384164365,0.694341327,4.349204909,11.97503827,0.481297615,0.00019085,0.081104102,0.345560618,1.929118491,8.033787173,0.543265948,0.359217523,0.017578545,0.010760628,0.007281799,1.875138831,3.461752513,0.503418816,0.139476307,0.105619526,0.012320616,0.002998418,0,0.013129679,0.013281187,0.005386316,0.001179926,0.003425648
24_2.cdf,group,comte,2,0.186795118,0.04738589,0.51535692,0.030215066,0.063041257,0.390584171,1.696431626,0.086334471,0.034670261,0.15548044,11.63020707,18.26240802,0.535882393,0.439193453,21.98509484,18.62037907,0.062616592,0.022530443,0.037851766,0.100262195,0.970996406,0.650818055,6.073471207,8.346697351,0.772157859,0.000161107,0.270381909,0.692493192,1.298346699,2.037396146,1.134429317,0.576283819,0.082694471,0.018333774,0.067968774,0.779302691,0.66987583,0.601852894,0.008954537,0.021949833,0.01005114,0,0,0,0,0,0.006900589,0.005761336
28_2.cdf,iso,comte,6,0.058508737,0.027720804,0.522276578,0.708503368,0.031819377,0.305178224,0.671687487,0.664692288,0.094179685,0.169869468,11.70169037,13.73117229,0.8230034,0.719647207,15.6144493,15.42840018,0.041366259,0.047147866,0.01863561,0.09473134,0.908814157,0.747647496,9.60337934,9.11163333,0.677870812,0,0.32385524,0.640259386,4.361684552,5.284841926,0.561144233,0.645131677,0.040381076,0.033296893,0.093164119,1.892084291,2.554579748,0.693124796,0.14186534,0.112882477,0.009409193,0,0.004713952,0.061517749,0.00757108,0.012850989,0.000741572,0.000874747
29_2.cdf,iso,comte,7,0.43609707,0.060916,0.988893413,0.035982717,0.041596373,0.576331948,1.917675912,0.094047934,0.030681077,0.467678202,9.845250675,14.97511173,0.949218553,1.528370291,12.57181746,14.86111395,0.207160381,0.025249332,0.039582954,0.069086894,0.688255985,1.024702186,7.317920695,11.71564593,0.624901133,0.004728476,0.099558879,0.5448022,3.07922574,7.950164281,0.596215685,0.505913126,0.021435635,0.025966385,0.01052397,1.995573959,3.153485794,0.621921878,0.124079919,0.09761672,0.002310148,0.00026692,0.002789872,0.037883627,0.006613151,0.010271274,0.014414558,0.000949011
33_2.cdf,group,comte,11,0.055014424,0.025522181,2.566971193,1.048320563,0.037509983,1.303772047,1.123610252,0.875648416,0.09121715,0.273270671,8.98540514,12.78732255,0.610434475,0.928518689,12.81981594,13.37365984,0.29935227,0.084084289,0.020842096,0.086626445,0.557814051,0.728427421,8.475551437,10.16249885,0.539137968,0,0.142178919,0.446725404,4.985523494,7.758527794,0.459484461,0.477896678,0.017348778,0.0338819,0.02846839,2.514483084,4.3442464,0.596788135,0.143721543,0.117569457,0.004568491,0,0.003157868,0.045904328,0.004786684,0.010990004,0.001523633,0.001876217
34_2.cdf,iso,comte,12,0.021568298,0.035965972,0.686248549,1.213082045,0.046409911,0.619523667,0.510726202,1.163653947,0.131899216,0.161055119,10.13754268,15.39566359,0.609513505,0.553610046,17.48425265,18.10914575,0.054424629,0.054437758,0.027171406,0.04254904,0.900946537,0.701434859,7.865412543,9.662969155,0.67799269,0,0.273411266,0.684123552,2.870042627,3.789282886,0.683006552,0.63421164,0.05225762,0.030933655,0.070366207,1.655434538,1.51435749,0.642138399,0.097291147,0.074201451,0.010243348,8.11E-05,0,0.032905301,0.006812793,0.009188458,0.001360433,0.001149741
38_2.cdf,group,manchego,16,0.016951214,0.036079713,0.635655047,1.043448858,0.044049237,0.303809256,0.437761847,0.520790527,0.11281554,0.118921479,10.32070085,13.99974169,0.762000548,0.76810861,17.53305231,19.34143447,0.051534185,0.071857431,0.025159538,0.060550348,1.016904943,0.83200496,7.331551771,10.25775671,0.707367168,0,0.249100406,0.67944708,2.408494396,4.658840698,0.749647671,0.641510527,0.028002831,0.046086881,0.036230886,1.386076228,1.806775492,0.679140007,0.110185318,0.098207207,0.008286332,0,0.001696435,0.044090989,0.006936904,0.009140396,0.001119744,0.000975325
39_2.cdf,iso,manchego,17,0.080523878,0.032647772,2.128639744,0.044973621,0.031421982,0.718457886,0.677664873,0.092858357,0.029479232,0.289062974,7.657926543,10.38841186,1.420929986,1.892136474,10.13669872,11.34255758,0.323705692,0.015647948,0.02117165,0.042289887,0.801075909,1.274056195,7.755867888,8.640565384,0.71339535,0.000637864,0.18889515,3.511395457,5.965384876,7.396287148,0.766791228,3.097775832,0.033783792,0.04413105,0.065245927,4.947760563,5.994357907,0.681992531,0.303633081,0.230615658,0.045195318,0,0.017254093,0.101071007,0.02151737,0.022711685,0.01064355,0.00075153
41_2.cdf,group,manchego,19,0.045853021,0.105596011,1.854685412,0.742818032,0.072189251,1.483417677,0.963505823,0.767632259,0.096720463,0.222773837,11.3064705,14.99573412,0.92495587,0.971995169,15.69772224,16.65631541,0.440447936,0.138473788,0.05516326,0.107899293,0.691897654,0.768161019,6.489249098,10.87851399,0.566333955,0.008183541,0.080592129,0.518062469,1.695125853,5.479191733,0.813599658,0.528363276,0.042110885,0.040835999,0.015765994,1.072818756,1.871616933,0.564719101,0.075933748,0.069755137,0,0,0,0.029698276,0,0.013590427,0.029829217,0.005681784
44_2.cdf,iso,manchego,22,0.030024562,0.038746521,0.565860997,1.898172932,0.04854926,0.4719141,2.020536379,1.931466684,0.325457322,0.454737618,11.33848086,14.63065559,1.11462244,1.084949374,12.96475557,14.68082673,0.048733051,0.118157711,0.024716955,0.051495622,0.848223683,0.822958646,5.90721222,10.61718327,0.65974568,0,0.123326798,0.650719888,2.369896956,6.739664772,0.571868964,0.662817642,0.006157688,0.025355724,0.005339464,1.997340059,3.022380815,0.681483382,0.193486615,0.142025228,0.001930995,0,0.012674717,0.068502283,0.004852224,0.014670255,0.005842861,0.001478903
47_2.cdf,group,manchego,25,0.020697412,0.045169329,2.217817543,0.59549954,0.043450523,1.268407263,1.560343714,0.422000314,0.06125594,0.323025997,10.30663389,15.49244905,0.634640026,1.123927678,13.88663386,16.24653427,0.476353002,0.084529524,0.030758273,0.10005565,0.581748993,0.724877185,5.406293963,10.70860241,0.562386154,0.002204899,0.085832281,0.472770175,2.130228716,7.080732775,0.652742921,0.535669838,0.0166493,0.020929286,0.005086056,1.614209809,3.445488798,0.64482507,0.153401796,0.138405909,0.001779999,0.000619232,0.003694762,0.043832662,0.004441855,0.010964568,0.009988931,0.001408857
49_2.cdf,iso,manchego,27,0.016310293,0.029075543,1.158377598,0.560461467,0.03606157,0.86182935,1.482857651,0.63279345,0.060647852,0.378786132,11.54763054,16.78614754,0.771650019,1.080111567,14.82520655,16.93470868,0.228647906,0.090381796,0.024624881,0.052777346,0.611803537,0.669376171,5.604988721,10.54387775,0.529750007,0,0.105232594,0.442902159,1.946531759,5.824612283,0.661442688,0.491124656,0.018464657,0.020560024,0.010354322,1.524923564,2.539579077,0.608816233,0.125879348,0.103618007,0.006607738,0.000727698,0,0.03144642,0.005949899,0.009509978,0.001303987,0.001528994
50_2.cdf,group,ec,28,0.040614195,0.033487048,1.555371474,3.330811422,0.060009449,0.842265626,1.268252984,2.836521736,0.413049177,0.342191518,10.82516362,15.24144591,0.745647844,0.808068514,13.5188742,15.47410703,0.231028575,0.399521262,0.02667357,0.03971427,0.75591252,0.677972806,4.934879022,10.05758768,0.602486363,0,0.123988415,0.555812148,1.84289137,5.722697601,0.566612442,0.586429648,0.00540168,0.020282559,0.003766929,1.647957072,2.758918694,0.667034227,0.184653464,0.152043589,0.003084998,0,0.010387608,0.063574858,0.005917936,0.013925717,0.00122014,0.001741097
57_2.cdf,group,ec,35,0.043901731,0.030343212,0.249719155,0.465737246,0.035337526,0.131357994,0.52087384,0.374759099,0.073029397,0.26226301,13.18527119,21.43254361,0.608448936,1.144777123,16.28966461,23.00040553,0.043452461,0.059600652,0.02813905,0.034884995,0.661496644,0.65981498,1.840693845,9.309120711,0.580517537,5.30E-05,0.018699572,0.569199076,0.431743721,3.80808425,0.766877,0.528515599,0,0,0,0.670759044,1.412771166,0.578843013,0.03771118,0.075092869,0.021408765,0.000274808,0,0,0.010507873,0,0.00160436,0.001700663
58_2.cdf,iso,ec,36,0.042239427,0.031735036,0.392045497,1.101040446,0.039420157,0.221529178,0.695598418,0.926693277,0.143204424,0.341419458,14.89688095,20.38356108,0.763469548,1.187456885,16.29901482,21.57324552,0.057589686,0.105803659,0.025754113,0.032835263,0.668674759,0.613749872,1.959255484,8.348971856,0.535319401,0.000152346,0.024509035,0.590744488,0.513634509,3.503193514,0.688843467,0.528065748,0,0,0,0.701205371,1.361101677,0.547894757,0.044787578,0.073922543,0.019360416,0.000200648,0,0.000117806,0.012521914,0,0.001108018,0.002127943
59_2.cdf,group,ec,37,0.064726752,0.035535168,0.050839796,0.126936505,0.028177808,0.042662364,0.195469116,0.18377636,0.036228638,0.120045184,13.03653353,16.1321651,1.257340227,1.172354582,16.8748798,18.74051832,0.014074247,0.028385262,0.023137546,0.026492965,0.542923003,0.506878872,5.875210707,8.672625434,0.395063842,0,0.090081487,1.996223286,2.51258072,4.28754962,0.665564877,1.096485376,0.042380685,0.019507272,0.028839368,1.945415239,2.327265555,0.556172378,0.106915938,0.081227881,0.025820783,0.0031641,0,0.004232605,0.021381844,0.003714391,0.001195051,0.001300429
63_2.cdf,iso,ec,41,0.016449065,0.027480103,1.459267648,0.588785847,0.041249403,0.744229049,2.078064741,0.570627603,0.068255718,0.73348264,12.74896211,18.03134479,1.06371282,2.026403244,13.54010656,17.5742223,0.234386939,0.055208071,0.023588501,0.039104569,0.698716111,0.723680346,2.277038101,9.515664222,0.552795659,0.001144294,0.029171959,2.575057378,1.238358278,4.598955611,0.604041249,1.527181852,0.018708464,0.02032394,0.001670823,1.036106228,1.9574981,0.658931459,0.098882787,0.103069434,0.014622918,0.001091238,0.004028222,0.04787467,0.012516386,0.010490069,0.005946593,0.001501898
64_2.cdf,iso,ec,42,0.01591825,0.030843029,0.772040412,0.191147557,0.03599206,0.43912719,1.930672219,0.386800569,0.034488432,0.615113844,14.74591087,18.98922389,1.384688098,1.777699526,15.54827876,18.60097532,0.140627523,0.0342776,0.023596716,0.043330861,0.726674415,0.656978182,2.934983778,7.998787412,0.517945706,7.26E-05,0.077784463,1.42162502,1.228215965,3.428628396,0.671165818,0.94082886,0.028217897,0.030025466,0.013010905,1.135259627,1.542424465,0.647183055,0.100988822,0.086205944,0.011299204,0.000829663,0.000562676,0.038782853,0.010593371,0.007854215,0.001134803,0.001183735
66_2.cdf,group,comte,44,0.016742738,0.026535393,0.204008755,0.076171266,0.028999162,0.207426209,1.749784848,0.215897207,0.024070377,0.605750281,14.66792104,20.39262671,1.142946945,1.857419532,15.76942234,20.25068449,0.036499459,0.020577184,0.022598907,0.035438331,0.731011743,0.675474436,2.10979483,8.473305779,0.529507893,0.000157752,0.041860463,1.282091251,0.73224865,3.557660436,0.639037046,0.867970729,0.017096506,0,0,0.773878222,1.451329027,0.563904688,0.066566107,0.08318123,0.011426853,0.002064712,0,0.020689211,0.010793341,0.005185981,0.001041059,0.001200875
69_2.cdf,iso,comte,47,0.084788499,0.030159324,1.343182122,1.821753201,0.045065186,0.632512347,0.742383012,1.361880844,0.187408097,0.270125776,8.402050462,15.97320078,0.471326516,0.878736547,12.38834574,17.04694688,0.217953877,0.212914801,0.026162282,0.032481215,0.646041415,0.790080989,3.306503977,13.05293669,0.688891986,0,0.027220387,0.886107477,1.508221205,8.954668536,0.578673659,0.764858689,0,0,0,1.512211836,3.923520989,0.754724251,0.161203147,0.171578053,0.003682184,0.000939428,0.013711604,0.060468111,0.009705058,0.010137876,0.001792847,0.00274211
70_2.cdf,iso,comte,48,0.1037509,0.044277072,0.185439896,0.373369448,0.037901657,0.170767362,0.987129933,0.450715834,0.067533896,0.269527153,12.53250376,17.42500261,0.684564209,0.882654734,14.77894908,18.58793115,0.046264607,0.066067382,0.032077297,0.046934541,0.704482812,0.688678372,3.687013506,11.53111384,0.637340259,0.001742562,0.059685852,0.619660532,1.313341342,6.463520572,0.675821442,0.626541397,0,0.005631897,0,1.32843291,2.822427174,0.709350399,0.12991716,0.141913377,0.008089192,0.001128667,0.00430801,0.040730517,0.009617345,0.007507845,0.007307433,0.001333069
71_2.cdf,group,manchego,49,0.0536848,0.029036296,0.088021515,0.497880484,0.035373334,0.07362036,0.247003729,0.530203013,0.08618382,0.136817481,7.443574512,15.71616539,0.429680476,0.874288612,14.37715482,17.85959287,0.016903424,0.054748521,0.023317391,0.029595833,0.457986683,0.519305647,5.256951989,10.55579921,0.452252976,6.62E-05,0.088448881,3.633690343,2.997517082,6.539358961,0.688025184,2.038090354,0.033158732,0.027819358,0.030060229,2.825821793,4.131239251,0.694261779,0.184373584,0.146336097,0.031332501,0.003098853,0,0.033980647,0.021318575,0.004244318,0.001297795,0.001316261
75_2.cdf,iso,manchego,53,0.048249185,0.042303274,0.100263448,0.226423099,0.037400101,0.141470387,1.222249603,0.177115818,0.036267341,0.216363425,7.465217024,23.07402021,0.490178868,0.749107884,18.730744,22.73630047,0.022071522,0.031495133,0.03265339,0.043639148,0.962023636,0.742533154,4.210127374,8.936205667,0.720093702,0.000144963,0.156616708,0.679797958,0.921372636,2.995772957,0.83459583,0.592139737,0.031106359,0.021127372,0,0.805693082,1.053006274,0.584248078,0.04005233,0.059365497,0.015881833,0.000720048,0,0.000185516,0.009129931,1.08E-05,0.003556841,0.000958393
76_2.cdf,group,manchego,54,0.267947734,0.027891906,0.437413176,0.017647201,0.027121014,0.287162047,1.500771739,0.056395304,0.02139936,0.390676787,9.812687628,16.91402257,0.649461374,1.316157275,13.57585881,16.49681941,0.077943528,0.013904156,0.023468893,0.035275551,0.505418983,0.738354443,5.437773767,12.24877207,0.51812804,0.001332666,0.06665516,0.462036212,2.346684126,7.917404513,0.633217931,0.488744467,0.013884048,0.015477074,0.004135069,2.140838606,3.585974351,0.589802779,0.154381555,0.114981659,0.00976273,0.001884881,0,0.031212863,0.009647106,0.0060825,0.006857902,0.000529045
82_2.cdf,group,comte,60,0.017507318,0.019487229,0.436336103,0.907976608,0.025213457,0.435378075,1.098606337,1.12243767,0.100252992,0.217737705,8.855551924,13.50313638,0.565581041,0.863152786,11.7718412,14.35524821,0.080188949,0.13151396,0.016268726,0.022583082,0.538360585,0.88853627,7.112000984,12.4942373,0.629117673,0,0.075359896,0.491911426,3.499314598,10.36250397,0.414976077,0.516606039,0.002147731,0.01241519,0,2.644754546,4.817328859,0.612419915,0.147234573,0.12322589,0.011218117,0.001833174,0.003067385,0.037119621,0.011572768,0.00473473,0.00063207,0.00137086
