"ID","Carvone","Hexadecanal","Methyl.Hexadecanoate","Ethyl.Hexadecanoate","Octadecenal","Methyl.Octadecenoate","Heneicosane","Ethyl.Octadecenoate","Ethyl.Octadecanoate","Docosane","Tricosene","Tricosane","Decanoic.Acid..Dodecyl.Ester","Tetracosane","Pentacosene","Pentacosane","Methyl.Tetradecanoate","Ethyl.Tetradecanoate","Hexadecenal","Heneicosene","Hexacosene","Hexacosane","Heptacosene","Heptacosane","Octacosane","Decanoic.acid..Hexadecyl.Ester","Octacosene","Tetracosyl.Acetate","Nonacosene","Nonacosane","Unknown1..mz.108.79..mw.402","Hexacosyl.Acetate","Triacontene","Hexadecenoic.Acid..Dodecyl.Ester","Octadecenoic.Acid..Decyl.Ester","Hentriacontene","Hentriacontane","Eicosenoic.Acid..Decyl.Ester","Tritriacontene","Tritriacontane","Unknown2..mz434.390..mw..","Octadecenoic.Acid..Hexadecyl.Ester","Unknown3..mz.464.338.265.201.127..mw..","Hexadecenoic.acid..Hexadecyl.Ester","Hexadecenoic.acid..Octadecenyl.Ester","Octadecenoic.Acid..Hexadecenyl.Ester","Octanoic.Acid","Octanoic.Acid..Ethyl.Ester","File_ID.x","treatment","colony_of_origin","HEAD.or.ABDOMEN"
37,0.066349476,0.180934729,0.008457877,0.10584978,0.066989694,0.088408945,4.608027877,1.387012201,0.505638562,1.991603215,8.06332161,11.64393474,2.271656279,3.829439312,8.58792915,10.40899233,0.005978634,0.024920002,0.030533609,0.066775757,0.86525561,2.008666285,5.883786456,8.340171058,0.987131654,0.091474694,0.20479549,5.266838847,5.077299549,8.310210049,0.776342594,4.987664398,0.146145179,0.13055902,0.279996503,5.769084536,8.387504314,1.213250887,0.587228709,0.762048382,0.286812097,0.142214237,0.144864646,0.247460663,0.192021738,0.097253027,0.0156894,0.068757837,"59_2","group","ec","ABDOMEN"
38,0.036885927,0.899581867,0.010592821,0.16515391,0.330600501,0.094575482,5.115784787,2.308442571,1.87158541,2.159703285,8.275756508,11.55858803,2.836044775,3.960698707,8.843243655,10.39799614,0.006272449,0.021919175,0.053798095,0.083516088,1.3484041,2.683395091,6.304118569,8.704807546,1.336706922,0.370091776,0.341551412,6.097992836,5.764540477,8.379968427,1.567316233,5.09644395,0.241005425,0.164180656,0.421439708,5.830421185,7.620305635,1.944746034,0.477090282,0.408057504,0.347058886,0.568070774,0.624641375,0.317004666,0.218781844,0.144586426,0.001484515,0.018585413,"60_2","group","ec","ABDOMEN"
39,0.084062307,1.265492391,0.013006249,0.111523483,1.098097341,0.109725445,6.159761397,1.949641598,0.077803459,3.020537696,9.815321291,11.97572225,4.451178269,4.93323759,9.362512768,10.8332746,0.007453314,0.022837971,0.117722223,0.223716017,2.004170434,3.156665296,6.639047545,8.749414801,1.621918893,0.725578449,0.57849727,8.638137643,6.614846613,8.552937791,2.061677581,8.399038152,0.56781281,0.293501241,1.002458613,6.907284964,8.279458423,3.147154155,0.842109849,0.596383198,0.887898419,1.915752318,1.206454545,0.781894926,0.425190862,0.442856263,0.006316276,0.039234875,"61_2","group","ec","ABDOMEN"
4,0.890714252,0.670530534,0.010944058,0.08796916,0.120438431,0.08959721,2.936518999,2.32784723,0.541494805,1.515351655,8.415042305,11.14757974,3.378101579,4.185944074,8.984944653,10.57858457,0.007762043,0.023503646,0.058609558,0.059986144,1.479304522,1.786515986,5.832783937,7.648008158,0.863075678,0.171603867,0.256628215,8.076658367,4.650979186,6.761213767,0.840476619,7.49520848,0.246996807,0.698213744,0.259052795,4.506046426,5.601180076,2.281962669,0.425146255,0.283064457,0.434558328,0.257504627,0.144850818,0.50978945,0.247234315,0.173082333,0.035230301,0.013557468,"26_2","group","comte","ABDOMEN"
40,0.08166716,0.798950114,0.014453332,0.121317846,0.304848733,0.07484594,4.198763913,0.882927868,0.073603553,1.074133918,7.733272771,9.776794739,2.034980261,1.647572084,8.331678379,8.661593211,0.00931049,0.030866468,0.048574055,0.144064949,0.904221775,1.116716955,5.820357994,7.364191695,0.581652298,0.264372385,0.242394766,1.691354697,4.72703548,6.38724634,1.08577421,1.145139382,0.42546847,0.22810559,0.674769011,4.679323828,4.233938896,2.05742263,0.284055014,0.125056082,0.029654295,0.641904455,0.234459797,0.247931808,0.019578441,0.080982416,0.057049492,0.036322981,"62_2","group","ec","ABDOMEN"
41,0.596134352,0.144804983,0.011718928,0.012576861,0.180836819,0.047849631,2.282017379,0.093597471,0.015557601,0.255905829,6.643086408,7.920000312,1.049763551,0.618846055,8.14154363,7.69298236,0.006851951,0.014405987,0.026063228,0.169240284,0.810247334,0.597866909,6.480820711,6.50702134,0.350608442,0.022057599,0.295328167,0.237447476,5.387516279,3.752937191,1.311301285,0.269858804,0.123037579,0.126565302,0.258163684,3.330453121,1.542801613,1.449557799,0.099319221,0.026317823,0.002849777,0.376698323,0.007082719,0.206709771,0,0.158209648,0.003852636,0.000433538,"63_2","iso","ec","ABDOMEN"
42,0.095180282,0.69337269,0.01109459,0.015229857,0.515070796,0.110519748,6.170467155,0.434642622,0.018066818,1.117371387,8.670968375,9.752838728,2.627938424,1.378586542,9.088880656,8.589259878,0.006577794,0.013585501,0.042227192,0.537052168,1.372302423,1.024567779,6.809278442,7.162087466,0.567537052,0.279773107,0.438772321,0.378391697,6.081779091,5.150657466,1.597759544,0.436674672,0.514561749,0.588655302,1.109809659,4.709479248,2.565285492,4.171099876,0.208949249,0.062880469,0.009793812,2.195382656,0.164887489,0.693508444,0.003310346,0.503798661,0.006184034,0.000459115,"64_2","iso","ec","ABDOMEN"
43,0.180739353,1.298004699,0.01472492,0.074067971,0.188499041,0.075393885,3.856308073,2.417763733,0.072914858,1.638113825,9.145583939,10.84699012,4.569016131,3.195107082,9.351480025,9.615213325,0.008773345,0.019353607,0.156254132,0.116262924,2.472685399,1.411354089,6.259546461,7.273776807,0.725095122,0.523344809,0.357381927,4.540093758,5.256301689,6.567497443,0.844118098,3.818169539,1.064735698,2.416322875,1.24642345,5.861553444,5.701446262,4.016880349,0.605919562,0.315414604,0.099379947,0.553523649,0.607353678,0.620916117,0.058847278,0.11333518,0.179891598,0.034529544,"65_2","group","comte","ABDOMEN"
44,1.233086374,0.075516802,0.020616399,0.23589262,0.078074359,0.108212571,3.053643519,1.576080723,0.509922553,1.40626858,7.999040341,10.9902782,3.066245212,4.19666738,9.136815555,10.32233001,0.012267896,0.037137567,0.044055687,0.105132313,1.389299594,2.097277623,6.220770646,7.904513842,0.823991156,0.069523788,0.311325848,5.920901218,5.184084399,7.178483414,0.702080414,5.037775848,0.11020363,0.133483648,0.209828443,4.765939647,5.215682886,0.867634364,0.297097592,0.187117742,0.162407758,0.0554178,0.043473297,0.183055098,0.117524231,0.06618654,0.075220264,0.030187304,"66_2","group","comte","ABDOMEN"
45,0.244339362,0.037396222,0.007692916,0.013542901,0.023734471,0.026173849,0.4683533,0.057265968,0.013263998,0.076304637,3.782413483,5.776353606,0.231076515,0.201238066,5.781856769,5.788150438,0.00642243,0.015578286,0.020432287,0.032500997,0.151196005,0.149127383,2.353323153,2.783857591,0.126435939,0.002276703,0.043166293,0.125947835,0.736141915,0.837840529,0.307916811,0.130711502,0.02369279,0.008508477,0.037980847,0.377945485,0.296986733,0.182323871,0.011589116,0.006662383,0.00221949,0.001763401,0,0.011303163,0.002348905,0.010339336,0.003545898,0.000720803,"67_2","group","comte","ABDOMEN"
46,0.12371089,0.251789587,0.008236002,0.027420118,0.044972056,0.066356095,2.622964496,0.553655411,0.048513618,1.058356273,7.362583899,10.72770048,1.83846226,2.914420107,8.409670582,9.899607825,0.005796566,0.014242547,0.032722952,0.039588784,0.742389356,1.177860024,5.463236941,7.539139771,0.520857214,0.030419257,0.131505898,4.535159763,3.905861845,6.614566654,0.473703174,3.925590458,0.057059208,0.156718992,0.084084894,4.033478146,5.121677048,0.726127446,0.264147788,0.201262284,0.069650046,0.028995085,0.025794501,0.135931364,0.043810843,0.03577303,0.017363528,0.004317334,"68_2","group","comte","ABDOMEN"
47,0.33044466,0.147180887,0.012329765,0.013950987,0.107985692,0.051619194,1.586803441,0.074968402,0.016680513,0.17575078,5.241059094,7.664835282,0.392486445,0.613217214,6.635677961,8.068208708,0.008697049,0.015895871,0.03269188,0.087423335,0.317950567,0.526096831,4.602109206,6.932212734,0.300421646,0.014561432,0.081569331,0.359842795,2.307422806,3.748825219,0.686682797,1.045400436,0.028084583,0.087861255,0.089733321,0.983536241,0.877657507,0.660752805,0.043549272,0.020023222,0.003861441,0.100168174,0.003805284,0.10401472,0.001869045,0.09523119,0.00806026,0,"69_2","iso","comte","ABDOMEN"
48,0.795246458,0.162297518,0.008453315,0.010249934,0.115924485,0.049685768,1.769295787,0.084140876,0.013112334,0.195494043,6.008032242,7.884111708,0.569638582,0.654662126,7.273383143,8.262929212,0.006288298,0.012529808,0.029398506,0.103455776,0.430740002,0.607860931,5.404170639,7.118387942,0.352282742,0.02662499,0.115722986,0.425104095,3.091551485,3.916702573,0.730233467,2.020529946,0.054115905,0.192819033,0.251652131,1.565690482,1.114085158,0.951472092,0.066951841,0.022877022,0.003229146,0.194485964,0.020308021,0.169788854,0.002454525,0.0941442,0.007007127,0.000279613,"70_2","iso","comte","ABDOMEN"
49,0.117611955,0.41351416,0.014088897,0.119420371,0.178388449,0.068800319,1.349805802,0.560798845,0.082424578,0.333520901,6.999753707,8.935119634,1.09457478,1.242161144,9.055641883,9.272684433,0.007559274,0.020559777,0.030932205,0.145875263,0.832276535,1.328273696,7.943165814,7.921481762,0.758727299,0.068043411,0.274408549,1.350602126,6.624892284,6.866587081,0.540860425,1.065020148,0.109642714,0.228296728,0.423421723,4.155867766,4.673188351,2.046583492,0.198955476,0.109282391,0.036038559,0.340557496,0.032620356,0.202703829,0.036726214,0.097693997,0.046125586,0.025088054,"71_2","group","manchego","ABDOMEN"
5,0.382031951,0.433731661,0.011370684,0.101567995,0.077055066,0.05444512,1.569633073,1.690078219,0.563368378,0.585830829,7.084243165,9.553264518,1.932235208,2.017387615,8.066462643,9.191016743,0.007944953,0.024235634,0.066564641,0.056670899,0.971522822,1.040362595,4.897716823,7.026004361,0.531851044,0.154463062,0.154481599,3.99799086,3.170106902,5.996841981,0.685749563,3.328359205,0.192210811,0.465877717,0.203399282,3.18189321,4.451063169,1.369709973,0.268304065,0.195264589,0.094382804,0.191817762,0.124238332,0.29480125,0.067827354,0.05902528,0.061168746,0.028507395,"27_2","group","comte","ABDOMEN"
50,0.157432007,0.526161582,0.01181121,0.057253042,0.133334779,0.054471484,1.319531897,0.566604297,0.050548253,0.363376462,6.952478476,8.941547214,1.04016097,1.195557168,8.902075695,8.959801413,0.00751074,0.02290526,0.028616428,0.174036199,0.647305009,0.894582534,6.95604744,7.077883104,0.548164607,0.081530576,0.186788606,2.873654344,5.285845576,6.222023157,0.418512277,1.80771982,0.13299963,0.21401318,0.430763713,3.343900298,4.798224996,2.933083148,0.200036293,0.144442612,0.059544179,0.496229939,0.069275718,0.206320969,0.037633116,0.088764672,0.047650481,0.062601105,"72_2","group","manchego","ABDOMEN"
51,0.081942012,0.155724929,0.008521161,0.044065386,0.041294683,0.044404649,1.539115639,0.376051442,0.039136197,0.409622369,7.062012151,9.241200249,1.024865252,1.413834332,8.938890978,9.225687057,0.005879936,0.015391642,0.019661091,0.12411145,0.646801504,1.05850113,7.345652896,7.537097729,0.584838662,0.05956694,0.199677031,3.233576924,5.556916746,6.558894424,0.468986879,1.994651367,0.089444509,0.107479676,0.262633122,3.50617627,4.503765696,1.536060709,0.16914372,0.112289592,0.056610402,0.178867755,0.033887813,0.133509956,0.036436508,0.047045401,0.015968685,0.016369565,"73_2","group","manchego","ABDOMEN"
52,0.22649329,0.176228127,0.009579778,0.059691123,0.046033414,0.052175867,1.775086064,0.35406017,0.05351833,0.511953357,6.934661055,9.589092857,1.094504364,1.637026044,8.919874056,9.492838303,0.006434726,0.017448234,0.022047095,0.102172353,0.69334401,1.236517278,7.603816165,7.747038878,0.694234171,0.045438805,0.225869057,4.14556594,6.315243566,7.137831041,0.392571185,2.553598499,0.089217625,0.143312847,0.205611437,4.972649318,5.933958124,1.935169542,0.296733794,0.208328741,0.099218559,0.154121983,0.026833055,0.179988819,0.054051873,0.066763206,0.021095031,0.012713347,"74_2","group","manchego","ABDOMEN"
53,1.256307328,0.814055789,0.018609828,0.022756871,0.258766583,0.127033714,4.999591779,1.133957127,0.030949246,1.473800761,9.392466847,10.95976678,3.709827447,2.850251092,9.788850841,10.08299421,0.008733354,0.016335242,0.055908358,0.515439335,2.500884275,2.218299481,8.051292487,7.918764112,1.080799015,0.396781426,0.792956523,0.770251591,8.022628377,6.253900862,1.900646729,1.584789434,0.400740861,0.816874536,0.78829525,5.905845486,4.049180225,5.037953982,0.29608471,0.10939162,0.010726795,0.689976787,0.201072106,0.519104708,0.005569583,0.311141445,0.026592291,0.00077361,"75_2","iso","manchego","ABDOMEN"
54,0.111397728,0.21375279,0.011291507,0.100967796,0.063661675,0.051383072,1.813910762,0.577791106,0.085827756,0.551199126,6.94484286,9.805455912,1.391958117,1.833262411,8.887248352,9.480953013,0.007475166,0.021796224,0.02671275,0.069979084,0.966821335,1.409177178,7.230761952,7.768463168,0.652905084,0.061831455,0.291030755,3.774315506,6.030069927,6.412192728,0.476789326,2.672979313,0.143976083,0.141999472,0.354056033,4.916150514,3.688864875,1.145939853,0.209338289,0.08856034,0.143525588,0.108563368,0.021220642,0.154705398,0.111304998,0.057754532,0.078076438,0.129943759,"76_2","group","manchego","ABDOMEN"
55,0.020113643,1.622744486,0.015299314,0.080240911,0.25728014,0.06111954,1.671723943,2.216183675,0.05909378,0.509560962,8.633637342,9.505106505,4.130317901,2.112901996,9.536059476,9.61231256,0.00784007,0.021529962,0.069441789,0.184974253,2.672293854,1.565254979,7.631512761,7.426328852,0.914345341,0.845970331,0.518880945,2.79294182,6.904353003,6.457827909,1.375630066,2.207986012,1.094764041,2.083450539,1.200682925,5.624971285,5.325429147,6.880316689,0.454181618,0.212767421,0.050255946,2.132345493,0.33768834,0.928495364,0.040106255,0.331036372,0.732067059,0.089543761,"77_2","group","manchego","ABDOMEN"
56,0.070374594,0.869690008,0.023246454,0.390120293,0.083171073,0.080858577,1.862090666,2.704646173,0.096955969,0.67873888,8.643453626,9.905674167,4.729754255,2.947826138,9.548744466,9.799198325,0.011065752,0.031040766,0.064615856,0.166894142,3.185563131,1.604806977,6.961499433,7.124232802,0.810120639,1.051091531,0.461398371,3.966157674,5.590062713,5.759534522,1.580834498,2.581969599,1.585451273,1.534090012,0.895853091,4.182259228,3.804413885,5.091251175,0.248318171,0.113881102,0.073148683,0.693255714,0.294022488,0.533460283,0.059842942,0.11187351,1.085252502,0.639895833,"78_2","group","manchego","ABDOMEN"
57,0.082819092,0.111882875,0.013593195,0.081301715,0.038458255,0.051916032,1.330877121,0.540872331,0.053401361,0.465428455,6.295600173,9.828408313,1.534006413,2.733556408,8.841712554,10.08056748,0.008296776,0.029282129,0.026806139,0.068801517,1.145564557,1.755607339,7.066661483,7.937242038,0.723181161,0.08452013,0.306123692,3.279537431,5.689558371,6.818796128,0.96653578,2.386213097,0.167577636,0.154378629,0.179117937,4.351079508,4.556502574,0.985723489,0.199254668,0.121538335,0.048899274,0.039964632,0.020103407,0.13096869,0.039074667,0.037094353,0.014197976,0.010372637,"79_2","group","manchego","ABDOMEN"
58,0.077769339,0.54849207,0.010485489,0.119653488,1.249614806,0.079118635,3.514712441,0.868435967,0.070479815,0.744286576,8.202790429,9.645282912,1.974342279,1.340720774,8.584346547,8.861525676,0.005880122,0.018539964,0.046141482,0.121048345,0.717349192,0.887365046,5.609374312,7.361992721,0.469121178,0.039324682,0.143213962,0.961836949,3.62568772,5.821495479,0.738062101,0.758792793,0.061732738,0.33146328,0.309373627,2.738558539,2.830227396,2.706305798,0.172287912,0.077375827,0.022691098,0.418234381,0.011631765,0.423652887,0.018481857,0.388579814,0.001709782,0.014244294,"80_2","group","comte","ABDOMEN"
59,0.044193212,0.739312229,0.009724143,0.105018849,1.068189352,0.09628766,4.718593781,1.40089367,0.084039732,1.401677291,8.288382257,10.69785736,2.226725896,2.268310023,8.923662934,9.661083925,0.006338039,0.02110671,0.064034323,0.107326935,0.903965073,1.350787765,6.340737809,8.015076151,0.675513159,0.040233669,0.229065498,5.979807773,5.531331066,7.227980166,0.905556535,4.351171692,0.142407777,0.36922158,0.70521795,5.596616774,5.473836917,2.098221362,0.386187385,0.183004726,0.092286644,0.294145928,0.019790808,0.410064225,0.057766944,0.288189033,0.002005393,0.021381173,"81_2","group","comte","ABDOMEN"
6,1.370278901,0.285138025,0.020640654,0.023643146,0.109615068,0.099888812,2.849503066,0.36910509,0.03669985,0.879415762,7.175061968,9.49958462,1.68413124,1.508740498,8.155423231,8.351870221,0.013029611,0.020755196,0.05171726,0.094771578,0.830441035,0.752460275,5.525818052,6.092440191,0.41233755,0.111354919,0.198934598,0.914534295,3.845562629,4.234322357,0.738569709,0.743710516,0.118375731,0.24145206,0.196389891,3.284163497,2.575238123,1.133643268,0.222742082,0.093159746,0.026645324,0.160952091,0.060151569,0.176057643,0.019624567,0.046874788,0.101986295,0,"28_2","iso","comte","ABDOMEN"
60,0.432248977,0.529645458,0.012266895,0.178097264,0.645278148,0.080878801,3.127362407,2.825193702,2.043620573,0.884156705,7.727073141,9.820544374,1.781215141,1.487605701,8.295552025,8.802304842,0.00829989,0.031579752,0.043366012,0.075141843,0.729464914,0.80579455,5.549674987,7.068416477,0.440495732,0.083010472,0.154143693,2.546645249,3.928702494,5.516060284,0.586960618,2.991119285,0.164235399,0.3576373,0.51911056,3.673986425,3.151900088,2.190299134,0.215903562,0.087671576,0.097861791,0.310681086,0.055355337,0.292520652,0.072081323,0.152193729,0.010388576,0.025377764,"82_2","group","comte","ABDOMEN"
61,0.182073949,1.075177816,0.014920333,0.243974962,1.239050731,0.10177829,4.34738654,2.171562981,0.151800023,1.447557309,8.580663381,10.73179798,2.861290036,2.35445242,8.94051798,9.509103001,0.008751969,0.033816375,0.088503268,0.15459718,1.220364019,1.297592952,6.26757829,7.635285097,0.719781271,0.139998176,0.28567745,5.549849053,5.469973204,6.911293043,0.94762661,4.249413401,0.295498741,1.60793803,1.095640872,5.909035804,5.828573145,5.509934581,0.674949731,0.302505319,0.094857818,0.8611983,0.138046098,0.762508771,0.063369172,0.367847912,0.036791109,0.084823277,"83_2","group","comte","ABDOMEN"
7,1.510118878,0.725779788,0.020061376,0.030911952,0.085029399,0.1423934,5.438614295,1.560622972,0.042324563,3.307741157,9.728794873,12.35095085,5.389845673,6.126937899,9.643496979,11.26162185,0.010448332,0.017260231,0.127463665,0.119018389,2.809819701,2.75770843,6.821745333,8.029827942,1.213317024,0.476574532,0.631963962,7.683084179,6.318853625,7.205585211,0.857185753,8.283024121,0.546385538,1.039957234,0.406795504,6.014889685,5.634761427,2.124599287,0.478659142,0.231059097,0.337049362,0.316437077,0.20197912,0.583692968,0.22090391,0.162369033,0.161114346,0.001562186,"29_2","iso","comte","ABDOMEN"
8,0.501245549,0.261768129,0.524282063,1.233792091,0.804413358,0.599113588,4.928842746,2.763313305,0.360826458,1.709400995,7.952561803,11.33756496,2.540711322,3.863324902,9.070782901,10.74684673,0.073252599,0.179282182,0.039514216,0.09633972,1.551865248,3.338323761,7.101080491,9.455026663,1.749352316,0.039627921,0.629234222,4.79846691,7.070646248,8.997544,0.889716439,5.317740115,0.119550582,0.228947191,0.424355011,7.351003129,8.019712828,1.855960892,0.876500211,0.411841986,0.288381763,0.212665637,0.03460026,0.487667603,0.212576136,0.380786093,0.006164592,0.01852024,"30_2","group","comte","ABDOMEN"
9,0.081067282,0.060409661,0.008152209,0.05552566,0.16455926,0.075768786,4.211653881,1.31302815,0.120369825,1.276756684,7.061883285,10.85157008,1.587074508,3.11680607,8.512352415,10.38070036,0.006210211,0.0225436,0.022828743,0.054311901,0.979261035,2.56537286,6.596017708,9.016618885,1.259478491,0.008327722,0.342199776,5.655590802,6.267813207,8.575443169,0.733870438,6.036716232,0.094402988,0.129255536,0.446042514,6.405386868,7.428778302,0.984179602,0.516220108,0.317396785,0.223683071,0.076026861,0.018199525,0.250557585,0.190490247,0.192734479,0.001546424,0.007816616,"31_2","group","comte","ABDOMEN"
